ATATRTS, Chez ANTHOINE DE SOMMAVILLE, au Palais, dans la petite Salle, a l’Eſcu de France.	ATATRTS, Chez ANTHOINE DE SOMAVILLE, au Palais, dans la petite Salle, à l'Écu de France.
M.	M.
DC.	DC.
XXXVI.	XXXVI.
AVEC PRIVILEGE DV ROY.	AVEC PRIVILÈGE DU ROY.
A MONSIEVR, MONSIEVR LE COMTE DE DEDPIV BARON DE MILLY, Seigneur du Bourg Dauerton, De Lorgerie, Dautré, &c.	À MONSIEUR, MONSIEUR LE COMTE DE DEDPIV BARON DE MILLY, Seigneur du Bourg Daverton, De Lorgerie, Dautré, etc.
ble;	blé;
Les courtoiſies que ie reçoy chez vous ſe donnent trop prodiguement pour me laiſſer aucune eſperance de les meriter, Mais puis qu’il faut que ie ſois vaincu, au moins i’ay la gloité de l’eſtre par de belles armes.	Les courtoisies que grande reçois chez vous se donnent trop prodiguement pour me laisser aucune espérance de les mériter, Mais puis qu'il faut que je sois vaincu, au moins j'ai la glaité de l'être par de belles armes.
On ſe peut laiſſer vaincre aux bien-faits, ſans ingratitude;	On se peut laisser vaincre aux bienfaits, sans ingratitude;
Et il y a de la difference, entre ne pas rendre, & eſtre mécognoiſſant;	Et il y a de la différence, entre ne pas rendre, et être méconnaissant;
Ie ne faits pas l’vn, & ne ſuis pas l’autre, Ie recognoy les bontez que vous auez pour moy, de toutes les forces de mon ame, & pour les effects ie m’aſſeure que le peu de proportion qu’il y a de ma fortune à la voſtre, vous obligera touſiours à m’en tenir quitte, Comme cette meſme diſproportion m'empeſchera touſiours de rougir en la continuation de vos faueurs;	Je ne faits pas l'Hôte, et ne suis pas l'autre, Je reconnais les bontés que vous avez pour moi, de toutes les forces de mon âme, et pour les effets avoir m'assure que le peu de proportion qu'il y a de ma fortune à la vôtre, vous obligera toujours à m'en tenir quitte, Comme cette seule disproportion m'empêchera toujours de rougir en la continuation de vos faveurs;
l’entre encor auiourd’huy chez vous, MONSIEVR, pour vous en demander vne.	l'entre encor aujourd'hui chez vous, MONSIEUR, pour vous en demander une.
C'eſt de ſouffrir.	C'est de souffrir.
Que ces deux lumeaux que i’ay habillez à la Françoiſe, ſeront monſtrez ſous voſtre protection, le les ay flattez de cette eſperance, par la cognoiſſance que i’ay de l’honneur que vous leur faites de les aymer, & par la qualité que ie porteray toute ma vie,	Que ces deux lumeaux que j'ai habillez à la Française, seront montrez sous votre protection, le les ai flattez de cette espérance, par la connaissance que j'ai de l'honneur que vous leur faites de les aimer, et par la qualité que sans porterai toute ma vie,
PRIVILEGE DV ROY.	PRIVILÈGE DU ROI.
210.	210.
OVIS par la grace de Dieu Roy de France & de Nauarre, A nos amez & feaux Conſeillers les Gens tenans nos Cours de Parlement, Maiſtre des Requeſtes ordinaires de noſtre Hoſtel, Baillifs, Seneſchaux, Preuoſts, leurs Lieutenans, & autres nos Iuſticiers & Oſficiers qu’il appartiendra.	OUÏS par la grâce de Dieu Roi de France et de Navarre, A nos âmez et féaux Conseillers les Gens tenants nos Cours de Parlement, Maître des Requêtes ordinaires de notre Hôtel, Baillifs, Sénéchaux, Preuôts, leurs Lieutenants, et autres nos Justiciers et Osficiers qu'il appartiendra.
Salut.	Salut.
Noſtre bien amé ANTHOINE DE SOMMAVILLE, Marchand Libraire, Nous a fait remonſtrer qu’il deſiroit faire imprimer vn Liure intitulé, Les Menechmes, Comedie du Sude Rotrou, ce qu’il ne peut faire ſans auoir ſur ce nos Lettres humblement requerant icelles.	Notre bien amé ANTHOINE DE SOMMAUILLE, Marchand Libraire, Nous a fait remontrer qu'il désirait faire imprimer un Livre intitulé, Les Ménèchmes, Comédie du Sude Rotrou, ce qu'il ne peut faire sans avoir sur ce nos Lettres humblement requérant icelles.
A CEs cauſes deſirant fauorablemẽt traitter ledit expoſant, Nous luy auons permis & permettons par ces preſentes de faire imprimer, vendre & debiter ledit Liute en tous les lieux & terres de noſtre obeïſſance,par tels Imprimeurs, en telles marges & caracteres, & autant de fois qu’il voudra, durant le temps & eſpace de ſept ans entiers & accomplis, à compter du iour qu’il ſera acheué d’imprimer.	À CEs causes désirant favorablement traiter ledit exposant, Nous éclats avons permis et permettons par ces présentes de faire imprimer, vendre et débiter ledit Livte en tous les lieux et terres de notre obéissance,par tels Imprimeurs, en telles marges et caractères, et autant de fois qu'il voudra, durant le temps et espace de sept ans entiers et accomplis, à compter du jour qu'il sera achevé d'imprimer.
