A MADAMOISELLE MADAMOISELLE DE VERTVS ADAMOISELLE,	À MADAMOISELLE MADAMOISELE DE VERTUS ADAMOISELLE,
Vous allés apprendre vne ambiion, & vne temerité, que vous aurés de la peine croire, c’eſt la paſſion que i’ay de vous faire la cuerence, & de me pre ſenter deuant vne des mereilles les plus acheuées de noſtre ſiecle:	Vous allez apprendre une ambiion, et une témérité, que vous aurez de la peine croire, c'est la passion que j'ai de vous faire la cuérence, et de me pré senter devant une des mèreilles les plus achevées de notre siècle:
c’eſt mal bſeruer ce que ce i’ay pluſieurs fois éprouué, u’ily a peu de perſonnes à qui il ſoit à propos de monſtrer, & à l’eſtime de qui il ne nuiſe, de ſe ire cognoi ſtre;	est mal bseruer ce que ce ay plusieurs fois éprouué, a peu de personnes qui il soit propos c' est, m al bestime ce que ce j' ai, dese urs fois éprouvé,
ſi la nature n’a mis en l’exterieur tte eloquence muette, & ce commencement perſuaſion, qui donne d’abord vne belle imeſſion de ſoy, il eſt dangereux de paroiſtre deuant celles qui vous reſſemblent, & la preſence hazarde extrémement la reputation;	si la nature n'a mis en l'extérieur tte éloquence muette, et ce commencement persuasion, qui donne d'abord une belle imession de soi, il est dangereux de paraître devant celles qui vous ressemblent, et la présence hasarde extrêmement la réputation;
La priſonſe deuroit garder, auſſi bien pour les imperfections que pour les crimes, & pour les fautes de la nature, que pour celles des mœurs.	La prisonse devrait garder, aussi bien pour les imperfections que pour les crimes, et pour les fautes de la nature, que pour celles des mœurs.
Mais quoy qu’ en ſoit, il m’eſt impoſſible, MADAMOISÉLLE de me tenir plus long-temps caché, & puiſqueie ne puis auoir l’honneur de vous voir ſans me monſtrer, ie me reſous plutoſt à perdre le peu d’eſti me que mes ouurages vous ont peut-eſtre don nées de moy, que le bon-heur d’admirer vn mo ment en vous les merueilles que i’en ay enten duës.	Mais quoi qu' en soit, il m'est impossible, MADAMOISELLE de me tenir plus longtemps caché, et puisqueie ne puis avoir l'honneur de vous voir sans me montrer, je me résous plutôt à perdre le peu d'éti me que mes ouvrages vous ont peut-être don nées de moi, que le bonheur d'admirer un mo ment en vous les merveilles que j'en ai enten dues.
Voſtre Maiſon a cét aduantage ſur toutes les autres, de ne produire point de petits miracles, tous les rameaux y ſont dignes de leur tige Et comme vous eſtes née d’vne Mere, en qui l plus ſeuere cenſure n’euſt ſçu treuuer de de ffaut elle a porté des Filles, en qui il n’y a rienny à re prendre ny à excuſer, & n’a mis que des ſoleil au iour.	Votre Maison a cet avantage sur toutes les autres, de ne produire point de petits miracles, tous les rameaux y sont dignes de leur tige Et comme vous êtes née d'une Mère, en qui plus sévère censure n'eût sçu trouver de de faut elle a porté des Filles, en qui il n'y a rienni à re prendre ici à excuser, et n'a mis que des soleil au jour.
Il ſembloit qu’elle euſt ſuffiſamment ſa tisfait à la Nature, pour les faueurs particuliere qu’elle en auoit reçeuës, en mettant au mond cette belle Ducheſſe, qui paſſe dans l’eſtime ( toute l’Europe, pe-ſl’vn des plus rares orne mens de noſtre Cour, qui a cauſé autant de ia louſies qu’elle a veu de femmes, & fait autar d’innocens homicides qu’elle a regardé d’hom mes:	Il semblait qu'elle eût suffisamment sa tissait à la Nature, pour les faveurs particulière qu'elle en avait reçues, en mettant au mond cette belle Duchesse, qui passe dans l'estime ( toute l'Europe, pé-sl’ regardé des plus rares orne mens de notre Cour, qui a causé autant de ja lousies qu'elle a vu de femmes, et fait autar d'innocents homicides qu'elle a regardé d'hom mes:
Il ſembloit, dis-ie, que celle qui nous l'i	Il semblait, dis-je, que celle qui nous l'y
ATIOTNE.	ATIOTNE.
incomparable.	incomparable.
C’eſt auoir payé auec vſure les graces dont le Ciel l’auoit ornée, & luy auoir rendu deux fois ce qu’elle n’en auoit receu qu’vne.	C'est avoir payé avec usure les grâces dont le Ciel l'avait ornée, et et avoir rendu deux fois ce qu'elle n'en avait reçu qu'une.
En effet, MADAMOISELLE, voſtre modeſtie ne ſe doit point offencer de ce mauuais compliment;	En effet, MADAMOISELLE, votre modestie ne se doit point offenser de ce mauvais compliment;
& tout le monde eſt d’accord que vous eſtes, entre les Filles, ce que Madame voſtre Sœur eſt entre les Femmes;	et tout le monde est d'accord que vous êtes, entre les Filles, ce que Madame votre Sœur est entre les Femmes;
