A MADAMO ISELLE ANNE MARIE Πan dο POVRRAT.	À MADAMO ISELLE ANE MARIE Πan d POURRRAT.
A TRES-CHERE DAMOISELLE, EN Ma paſſiõ eſt trop glorieuſe pour eſtre ſecrette:	À TRÈS-CHÈRE DAMOISELLE, EN Ma passio est trop glorieuse pour être secrète:
ſi vous trouuez mauuais qu’on ſçache que ievous adore, preparez debõne heu re des reproches, & étudiez des iniures;	si vous trouvez mauvais qu'on approche que Vous adore, préparez débonne heu ne des reproches, et étudiez des injures;
mais il n’eſt point de diuinité qui 2 s’offence de l’encens qu’on luy enuoye, & le ciel n’a pas fait les foudres pour les religieux, mais pour les im BITI * pies;	mais il n'est point de divinité qui 2 s'offense de l'encens qu'on lui envoie, et le ciel n'a pas fait les foudres pour les religieux, mais pour les im BITI * pies;
ſouffrez dõc que iepublie cette verité, & que ie tienne ceux qui ne vous treuuerõt pas adorable, apres vous auoir veuë, pour des heretiques, ou des infidelles;	souffrez dõc que iepublie cette vérité, et que Il tienne ceux qui ne vous trouveront pas adorable, après vous avoir vue, pour des hérétiques, ou des infidèles;
ceſte creãce n’a point beſoin d’eſtre preſchee, pour eſtre ſuiuie, elle s’eſtablit aſſez d’elle meſme, il ne faut que vous voir pour vous adorer, & ie ne ſçaurois ſouhaitter qu’on vous cognoiſſe, ſans craindre en meſme tẽps vn riual:	cette creãce n'a point besoin d'être prêchée, pour être suivie, elle s'établit assez d'elle même, il ne faut que vous voir pour vous adorer, et Seigneur ne saurais souhaiter qu'on vous connaisse, sans craindre en rendre temps un rival:
vous meſme, quelque acheuee que ſoit voſtre vertu, ie m’aſſeure que vous n’auez pas aſſez de modeſtie pour vous voir ſans vous aymer, & quand vous ſeriez plus enfermée que le Roy des Indes, puiſque vous ne pouuez eſtre inuiſible à voꝰ meſme, i’aurois pour le moins C----- - vne riuale;	vous -même, quelque achève que soit votre vertu, je m'assure que vous n'avez pas assez de modestie pour vous voir sans vous aimer, et quand vous seriez plus enfermée que le Roi des Indes, puisque vous ne pouvez être invisible à voù prendre, j'aurais pour le moins Ç-à - même Civale;
mais ie ſouffre cette cõcurrence ſans ialouſie, & i’ayme egalemẽt ma riuale, & ma maiſtreſſe, puiſque vous eſtes l’vne & l’autreIe commence mes hõmages par le mauuais presẽt que ie vous enuoye de ma Clorinde, ſi vous y treuuez quelque choſe qui vous agree, venez me le dire a Paris, où vous eſtes impatiement attenduë de cẽt ſeruiteurs, & d’autant de cõpagnes;	mais était souffre cette commence sans jalousie, et j'aime egalemẽt ma rivale, et ma maîtresse, puisque vous êtes l'une et l'autreIe commence mes hommes par le mauvais presẽt que sans vous envoie de ma Clorinde, si vous y treuuez quelque chose qui vous agré, venez me le dire à Paris, où vous êtes impatiement attendue de commence serviteurs, et d'autant de compagnes;
ou ſi vos affaires ne vous le permettent pas, treuuez bõ que i’aille à lurybaiſer vos belles mains, & iurer deſſus, que ie ſuis de toute mon ame,	ou si vos affaires ne vous le permettent pas, trouvez bonne que j'aille à lurybaiser vos belles mains, et jurer dessus, que je suis de toute mon âme,
Voſtre tres humble, & trespaſſionné ſeruiteur, ROTROV.	Votre très humble, et trespassionné serviteur, ROTROU.
