M.	M.
DC.	DC.
XXXIV.	XXXIV.
Auer Priuilege du Roy.	Auer Privilège du Roi.
A MADAME LA BARONE DE HANDOLAN ADAME,	À MADAME LA BARONE DE HANDOLAN ADAME,
Ie ſerois le plus ingrat du monde, ſi je ne vous dédiois ce que vous m'aueZ donné;	Je serais le plus ingrat du monde, si je ne vous dédiais ce que vous m'avez donné;
& ſi je n’embraſſois ceste occaſion dem’acquitter aucunement de ce que je vous doibs, pour l’eſtime que vous témoignaſtes faire demon Aminte.	et si je n'embrassais cette occasion dem'acquitter aucunement de ce que je vous doibs, pour l'estime que vous témoignâtes faire démon Aminte.
Que ce fuſt auec raiſon, ou non, II ne m'importe, puis qu'il eſt preſque auſſiglo1.	Que ce fût avec raison, ou non, II ne m'importe, puis qu'il est presque aussiglo1.
2 rieux de faire faillir vn jugement comme le ſtre, que de meriter ſon approbation.	2 rieux de faire faillir un jugement comme le stre, que de mériter son approbation.
Cependa MADAME, vous me permettreZ de vous re, que par là vous vous estes obligée à reſp dre de cét ouurage.	Cependa MADAME, vous me permettrez de vous re, que par là vous vous êtes obligée à resp re de cet ouvrage.
Ioint que vous ſçaueç'a esté par vostre conſeil que je m’y ſuis enga de telle ſorte, qu’apres que vous m'én aueZ e capable, je n’ay pas ſeulement douté ſi je deu l’entreprendre.	Joint que vous sçaueç'a été par votre conseil que je m'y suis enga de telle sorte, qu'après que vous m'en avez é capable, je n'ai pas seulement douté si je dev l'entreprendre.
Uous ne trouuerez donc étrange, que j’aye maintenant recours à vo pour vne choſe, dont vous eſtes la principe cauſe;	Uous ne trouverez donc étrange, que j'aie maintenant recours à vo pour une chose, dont vous êtes la principe cause;
ny que je remette entre vos mains cel pour en estre ſorty, ſemble auoir droict d’eſper vostre aſſistance.	ni que je remette entre vos mains cel pour en être sorti, semble avoir droit desper vôtre assistance.
Ces Perſonnages qui ſe rept ſentent deuant vous, ſont à la verité bien chai ez;	Ces Personnages qui se rept sentent devant vous, sont à la vérité bien chai ;
l’habit dont je les ay reuestus leur oſte beai coup de leur grace naturelle;	l'habit dont je les ai revêtus leur ôte béai coup de leur grâce naturelle;
mais quelques d guiſeZ qu’ils ſoient, vous les auez trop hanteZ & les connoiſſeZ trop bien pour les pouuoir je mais méconnoistre.	mais quelques d guisez qu'ils soient, vous les avez trop hantez et les connaissés trop bien pour les pouvoir je mais méconnaître.
Au contraire, je m’aſſeur que les voyant en ſi mauuais équipage, vostre affection s’en redoublera pour les mieux accüeit lir.	Au contraire, je m'assur que les voyant en si mauvais équipage, votre affection s'en redoublera pour les mieux accueit lir.
Reçeuez-les donc, s’il vous plaiſt, tels qu’ils ſont, & auec eux, les vœux de celuy qui ſe dit,	Recevez-les donc, s'il vous plaît, tels qu'ils sont, et avec eux, les vœux de celui qui se dit,
MADAME,	MADAME,
Voſtre tres-humble, & tres.	Votre très-humble, et très.
affectionné ſeruiteur,	affectionné serviteur,
DALIBRAY.	DALIBRAY.
ADVERTTSSEMENT.	ADVERTTTSEMENT.
’Eſtime que nous ſommes encore plus obligez de rendre la iuſtice, en ce qui touche les biens de l’eſprit, qu’en ce qui regarde ceux de la Fortune:	Estime que nous sommes encore plus obligez de rendre la justice, en ce qui touche les biens de l'esprit, qu'en ce qui regarde ceux de la Fortune:
C’eſt pourquoy, Lecteur, ie te veux déclarer l’Autheur de cette Paſtorale, bien qu’elle ſoit ſi rare, que ie pouuois par mon ſilence reçeuoir la gloire de ſon inuention, ſans craindre d’eſtre découuert, que de fort peu de perſonnes.	C'est pourquoi, Lecteur, Seigneur te veux déclarer l'Auteur de cette Pastorale, bien qu'elle soit si rare, que craindre pouuois par mon silence recevoir la gloire de son invention, sans craindre d'être découvert, que de fort peu de personnes.
Ie gaigneray par là ta bien-veillance, & les loüanges que tu euſſes données à la fauſſe opinion de mon eſprit, i’eſpere que tu les donneras maittenane dn itterſté de ma conſcience:	Je gagnerai par là ta bienveillance, et les louanges que tu eusses données à la fausse opinion de mon esprit, j'espère que tu les donneras maitenane dn ittersé de ma conscience:
Et puis il ne t’importe pour me demeurer redeuable de ce que ie te donne, qu’il vienne de moy, ou que ie l’emprunte d’ailleurs:	Et puis il ne t'importe pour me demeurer redevable de ce que tu te donne, qu'il vienne de moi, ou que . l'emprunte d'ailleurs:
ſinon qu’il ſemble que c’eſt vn plus grande marque du ſoin que i’ay de tor contentement, d’aller chercher parmy Eſtrangers, ce que ie ne trouue pas chez me pour y ſatisfaire.	sinon qu'il semble que c'est un plus grande marque du soin que j'ai de tor contentement, d'aller chercher parmi Étrangers, ce que je ne trouve pas chez me pour y satisfaire.
Le vray Pere donc de c Ouurage, qui eſt dans la rigueur de toutes les regles, dans l’vnité de temps, d’action, & de lieu;	Le vrai Père donc de ç Ouvrage, qui est dans la rigueur de toutes les règles, dans lvnité de temps, 'action, et de lieu;
c’eſt Cæſar Cremonin, l’vn des plus excellens Perſonnages, & particulieremen en Philoſophie, que l’Italie ait jamais produit.	c'est Cæsar Cremonin, l'un des plus excellents Personnages, et particulieremen en Philosophie, que l'Italie ait jamais produit.
Touché du bruict que ſ’eſtoit acquis l’Aminte, il entreprit cette Paſtorale à ſon imitation, comme on dit qu’autrefois Ariſtote jaloux de la reputation d’Iſocrate, ſe mit auſsi à embraſſer l’Eloquence.	Touché du bruit que s'était acquis l'Aminte, il entreprit cette Pastorale à son imitation, comme on dit qu'autrefois Aristote jaloux de la réputation d'Isocrate, se mit aussi à embrasser l'Éloquence.
En quoy certes noſtre Autheur témoigna la grande eſtime qu’il en faiſoit, iuſques à donner meſme le nom d’Aminte à ſon premier perſonnage, que j’ay changé en celuy de Damon.	En quoi certes notre Autheur témoigna la grande estime qu'il en faisait, jusques à donner même le nom d'Aminte à son premier personnage, que j'ai changé en celui de Damon.
Auſsi ne pouuoit-il pas mieux faire, que de ſe propoſer vn tel exemple, puis qu’eſtant neceſſaire de demeurer touſiours derriere – celuy qu’on ſuit, & principalement en ce genre d’écrire, où le ſujet, pour eſtre fort ſimple de ſa nature, fournit auſsi fort peu d’inuentions nouuelles;	Aussi ne pouvait-il pas mieux faire, que de se proposer un tel exemple, puis qu'étant nécessaire de demeurer toujours derrière 8 celui qu'on suit, et principalement en ce genre d'écrire, où le sujet, pour être fort simple de sa nature, fournit aussi fort peu d'inventions nouvelles;
par ce moyen, ſ’il n’alloit du pair auec le Taſſe, du moins eſtoit-il aſſeuré qu’il ne ſe laiſſeroit pas deuancer par les autres.	par ce moyen, s'il n'allait du pair avec le Tasse, du moins était-il assuré qu'il ne se laisserait pas devancer par les autres.
