N LES A DE IEC VAVGIRARD, OV LES NAIFVETEZ CHAMPESTRES,	 LES A DE IEC VAUGIRARD, OU LES NAIFUETEZ CHAMPÊTRES,
P4IDIOIALLE Dediée a ceux qui veulent rire.	P4IDIOIALLE Dédiée a ceux qui veulent rire.
Par L.	Par L.
C.	Ç.
D.	D.
2	2
A TARIS.	À TARIS.
Chez IEAN GVIGNARD, au premier Pillier de la grand’Salle du Palais.	Chez IEAN GUIGNARD, au premier Pillier de la grand’ Palle du Palais.
M.	M.
DC.	DC.
XXXVIII.	XXXVIII.
Auec Priuilege du Roy.	Avec Privilège du Roi.
DE 2 S I RL.	DE 2 S I RL.
SERVANT D'ADVERTISSEMENT e dul el vm rire.	SERVANT D'ADVERTISEMENT é l el vu rire.
a ChoaTS ESSIEVRS, Ie ne ſuis point de ces ſçauans perſonnages dont les ſiecles ont ſi curieuſement conſerué les precieuſes reliques pour nous donner lumiere des ſciences qui les ont faict estimer vrais Orateurs, & parfaictement bons Poëtes:	à ChojàTS ESIEURS, Je ne suis point de ces savants personnages dont les siècles ont si curieusement conservé les précieuses reliques pour nous donner lumière des sciences qui les ont fait estimer vrais Orateurs, et parfaitement bons Poètes:
mon ſçauoir eſt außi peu cogneu que ma perſonne, mais mon humeur indifferente ne ſe ſoucie de la probation des doctes, ny dis mépris des ignorans:	mon sçauoir est aussi peu connu que ma personne, mais mon humeur indifférente ne se soucie de la probation des doctes, ni dis mépris des ignorants:
mes eſcrits en petit nõbre, & en peu de volumes n’ont d’authorité que les diuers ſentimens de ceux qui prennent la peine de les lire.	mes écrits en petit nombre, et en peu de volumes n'ont d'autorité que les divers sentiments de ceux qui prennent la peine de les lire.
Vous ne verreZ point d’Apologiſte qui mne diſe confidemment a l’oreille que i’ay parfaictement bien reuſſy, que i'ay grandemout obligé le public luy donnant des cuures ſi plaines de moralitez, & de ſubtiles pointes, que i’at tribuë des richeſſes aux rithmes capables de me faire paſſer pour diuin, que i'attraperay la gloire ou tous les autres veulent atteindre, & ou pas vn ne çauroit paruenir, & qu’en fin il ſeroit außi difficile de trouuer mon ſecond, comme de rencontrer deux Rois de France en l’Europe.	Vous ne verrez point d'Apologiste qui m oise confidemment à l'oreille que j'ai parfaitement bien réussi, que j'ai grandemout obligé le public nous donnant des cuvres si plaines de moralités, et de subtiles pointes, que j'at tribue des richesses aux rythmes capables de me faire passer pour divin, que j'attraperai la gloire ou tous les autres veulent atteindre, et ou pas un ne çauroit parvenir, et qu'en fin il serait aussi difficile de trouver mon second, comme de rencontrer deux Rois de France en l'Europe.
Tous ces aiſcours de vanité, & de flatterie n’auroient autre remerciment de moy, que celuy que l’on peut faire a des cens que l’on recognoiſt ſe moquer honneſtement d’vn amy, ie leur donnerois l’epithete d’eſprits foibles pluſtost que celle d’eſprits forts, comme n'ayans pas aſſeZ de force pour me perſuader vne mécognoiſſance de moy-meſmne:	Tous ces aiscours de vanité, et de flatterie n'auraient autre remerciment de moi, que celui que l'on peut faire a des cents que l'on reconnaît se moquer honnêtement d'un ami, je leur donnerais l'épithète d'esprits faibles plutôt que celle d'esprits forts, comme n'ayant pas assez de force pour me persuader une méconnaissance de moi-même:
les deffaux de mes ouurages ne trouueront ny de louanges, ny d’excuſes dans les plumes d’autruy.	les défauts de mes ouvrages ne trouveront ni de louanges, ni d'excuses dans les plumes d'autrui.
Vous n'y trouuereZ point dans l’Aduertiſſement au Lecteur ce que les Autheurs du temps ont couſtume d’y mettre:	Vous n'y trouvez point dans l'Aduertissement au Lecteur ce que les Auteurs du temps ont coutume d'y mettre:
Qu’ils ſçauent faire vne piece en quin Ze jours, qu'ils n’auoiet que quinZe ans lors qu’ils l’ont faité, que leurs amis les ont forceZ à la faire mettre ſoubs la preſſe, & ſoubs l’aſſeurance qu’on leur a donnee, qu’elle ſeroit bien receue;	Qu'ils savent faire une pièce en quin Ze jours, qu'ils n'avoiet que quinZe ans lors qu'ils l'ont faité, que leurs amis les ont forcés à la faire mettre sous la presse, et sous l'assurance qu'on leur a donnée, qu'elle serait bien reçue;
que c'est vn premier eſſay, & qu’on doit eſperer que quelque iour ils feront mieux:	que c'est un premier essai, et qu'on doit espérer que quelque jour ils feront mieux:
les autres diront que leur abſence a cauſé le deſordre, & les fautes qui ſe rencontrẽt dans leurs liures, qu'ils ont eſte imprimeZ a leur inſceu ſur des copies mal polies qui leur auoient eſté dérobées, ou quils auoient données à l’vn de leurs amis, mais qu’a la ſeconde edition ils ſeront veſtus des robbes de la merueille, & qu’on ne les recognoiſtra plus.	les autres diront que leur absence a causé le désordre, et les fautes qui se rencontrent dans leurs livres, qu'ils ont este imprimés a leur inscu sur des copies mal polies qui leur avaient été dérobées, ou quils avaient données à l'un de leurs amis, mais qu'a la seconde édition ils seront vêtus des robes de la merveille, et qu'on ne les reconnaîtra plus.
Toutes ces raiſons ſi anciennes, & tant de fois repetées pour faire trouuer bonne vne mauuaiſe choſe, ne peuuent eſtre appellées autremem que ies nomeſtes excuſes de l’ignorance, le manteau de l’incapacité, la couuerture de l’imperfection, le voile des petites imaginations, la ſterilité des bonnes parolles, le bandeau des Rimeurs, & la folie des Poetes;	Toutes ces raisons si anciennes, et tant de fois répétées pour faire trouver bonne une mauvaise chose, ne peuvent être appelées autremem que jes nomestes excuses de l'ignorance, le manteau de l'incapacité, la couverture de l'imperfection, le voile des petites imaginations, la stérilité des bonnes paroles, le bandeau des Rimeurs, et la folie des Poètes;
& pour moy, afin qu’ils ſçachent mon ſentiment ie conſeillerois volontiers a ces eſprits de donner plus de temps à la compoſitiõ de leurs ouurages, & de ne les entreprendre ſi jeunes, veu que leurs poinctes, qui, pour proprement parler, ne ſont que mot aphores hyperboliques forment des eſpines ſi piquantes, que leur honneur s’y eſcorche le plus ſouuent:	et pour moi, afin qu'ils sachent mon sentiment ie conseillerais volontiers à ces esprits de donner plus de temps à la compositiõ de leurs ouvrages, et de ne les entreprendre si jeunes, vu que leurs pointes, qui, pour proprement parler, ne sont que mot aphores hyperboliques forment des épines si piquantes, que leur honneur s'y écorche le plus souvent:
il n'y a pasvn pied de vers qui n'en preſte deux aux Lecteurs pour marcher ſur la teſte de leur vanité, ny pas vn vers qui n’en fourniſſe quatre pour rongerce qu'il y a de mal digeré dans leur trauail, de ſorte que comme la chauue-ſouris a cauſe de ſa difformité n’oſe paroiſtre deuant le jour ces ouurages deu roient demeurer enfermeZ, ou n’eſtre mis en lumiere que par le feu;	il n'y a pasvn pied de vers qui n'en prête deux aux Lecteurs pour marcher sur la tête de leur vanité, ni pas un vers qui n'en fournisse quatre pour rongerce qu'il y a de mal digéré dans leur travail, de sorte que comme la chauveû-souris a cause de sa difformité n'ose paraître devant le jour ces ouvrages de vaient demeurer enfermés, ou n'être mis en lumière que par le feu;
car pour moy ie ne ſçaurois flatter, ie dis librement mnes penſées;	car pour moi ici ne saurais flatter, on dis librement mines pensées;
on ne ſçauroit donner trop de ſoin à vn ouurage qui paroiſt en public.	on ne saurait donner trop de soin à un ouvrage qui paraît en public.
