TRAGICOMEDIE.	TRAGICOMEDIE.
Par le Sieur de MAGNON, Hiſtoriographe de ſa Majeſté tres-Chreſtienne.	Par le Sieur de MAGNON, Historiographe de sa Majesté très-Chrétienne.
ANATIESSE Royale de Sauoye.	ANATIESSE Royale de Savoie.
ARecrv P-ean I tu ne regnes pas ſur la Terre & ſur l'Onde, OTu regnes ſur les Cæurs, ils reçoiuent tes Loix, Et ta rare bonté par ſoy-meſme feconde Te fait plus de Sujets que n'en ont tous les Rois.	ARecrveAN-Jean I tu ne régnès pas sur la Terre et sur l'Onde, OTu régnès sur les Cæurs, ils reçoivent tes Lois, Et ta rare bonté par soi-même féonde Te fait plus de Sujets que n'en ont tous les Rois.
Ton regne eſt naturel, ton merite le fonde, Cent belles qualitez autoriſent ſes droits;	Ton règne est naturel, ton mérite le fonde, Cent belles qualités autorisent ses droits;
Et Tite ſurnommé les Delices du monde, Ne fut que ton Heraut, ton Organe, ou ta Voix.	Et Tite surnommé les Délices du monde, Ne fut que ton Héraut, ton Organe, ou ta Voix.
En vain en ſa faueur la Terre eſt preuenuë, Il ne fit en viuant que marquer ta venuë, 4 Le Ciel en fit ton ombre, & non pas ton pareil, Il ne fut qu’vn éclair qui traça ton merite, Ou, de l’air que l’Aurore annonce le Soleil, Charles Emanuel fut annoncé par Tite.	En vain en sa faveur la Terre est prévenue, Il ne fit en vivant que marquer ta venue, 4 Le Ciel en fit ton ombre, et non pas ton pareil, Il ne fut qu'un éclair qui traça ton mérite, Ou, de l'air que l'Aurore annonce le Soleil, Charles Emanuel fut annoncé par Tite.
ler, mais ſi extraordinairement, que quelque effort d’imagination que ie me faſſe pour me repreſenter ce que vous eſtes, ie ſuis encore à vous conceuoir ſous le portrait d’vn Heros qui fût appellé les Delices du genre humain.	ler, mais si extraordinairement, que quelque effort d'imagination que je me fasse pour me représenter ce que vous êtes, votre suis encore à vous concevoir sous le portrait d'être Héros qui fût appelé les Délices du genre humain.
C’eſt Tite, qui ſortant de ſon tombeau, au bruit que fait voſtre Renommée, a voulu voir, par vne curioſité digne de ſes intereſts, ſi vous l’approchez, ou ſi vous légalez, ou ſi vous le ſurpaſſez, & qui m’a commandé de me rendre à ſa ſuitte pour aller eſtre le teſmoin de l’eſtime, où de la jalouſie, ou de l’admiration qu’il a pour Vous.	C'est Ime, qui sortant de son tombeau, au bruit que fait votre Renommée, a voulu voir, par une curiosité digne de ses intérêts, si vous l'approchez, ou si vous légalez, ou si vous le surpassez, et qui m'a commandé de me rendre à sa suitte pour aller être le témoin de l'estime, où de la jalousie, ou de l'admiration qu'il a pour Vous.
Ce n’eſt pas, MONSEIGNEVR, que Tite, & moy, n’ayons pour Voſtre ALTESSE ROYALE, toute la foy qu’il faut auoir pour les choſes les plus aſſurées;	Ce n'est pas, MONSEIGNEUR, que Tite, et moi, n'ayons pour Votre ALTESSE ROYALE, toute la foi qu'il faut avoir pour les choses les plus assurées;
Mais ne nous aduoüerez vous pas qu’en matiere de miracles, vn peu d’incredulité, ou de ſuſpenſion ne ſied pas mal, & que qui croiroit tout ce que publie la Renommée, receuroit moins de veritez, que de menſonges.	Mais ne nous avouerez -vous pas qu'en matière de miracles, un peu d'incredulité, ou de suspension ne sied pas mal, et que qui croirait tout ce que publie la Renommée, recevrait moins de vérités, que de mensonges.
En effet, qui pourroit, où deuroit croire d’abord, que dans vn temps ou la vraye perfection ne paſſe que pour vne idée, la nature ait effectiuement reüny en Vous tout ce qu’elle auoit ſeparé dans ſes demy-Dieux de l’Antiquité;	En effet, qui pourrait, où devrait croire d'abord, que dans un temps ou la vraie perfection ne passe que pour une idée, la nature ait effectiuement réuni en Vous tout ce qu'elle avait séparé dans ses demi-Dieux de l'Antiquité;
& que par vn priuilege vnique Elle vous ait mis autant au deſſus de Tite, qu’elle auoit mis Tite au deſſus des autres hommes.	et que par un privilège unique Elle vous ait mis autant au dessus de Tite, qu'elle avait mis Tite au dessus des autres hommes.
Cependant, MONSEIGNEVR, tant de perſonnes le proteſtent ainſi, que nous ne voulons point nous oppoſer à la foy publique, & qu’eſtant preuenus par vne authorité vniuerſelle, nous allons dans voſtre Cour moins faire vn iugement particulier de Voſtre ALTESSE ROYALE, que joindre noſtre témoignage à ceſte glorieuſe reputation, que vous vous eſtes ſi eminemment, & ſi generalement acquiſe.	Cependant, MONSEIGNEUR, tant de personnes le protestent ainsi, que nous ne voulons point nous opposer à la foi publique, et qu'étant prévenus par une autorité universelle, nous allons dans votre Cour moins faire un jugement particulier de Votre ALTESSE ROYALE, que joindre notre témoignage à cette glorieuse réputation, que vous vous êtes si éminemment, et si généralement acquise.
Que i’ay de plaiſir par aduance d’entendre dire à la Renommée, que ce qu’elle fait penſer de vous cede encore à ce que vous en monſtrez, que vous découurez tant de merite à vos ſpectateurs, que vous ſurprenez moins les oreilles que les yeux, & qu’il eſt incomparablement plus difficile de croire tout ce qu’on voit de vous, que de croire tout ce que l’on en entend dire.	Que j'ai de plaisir par avance d'entendre dire à la Renommée, que ce qu'elle fait penser de vous cede encore à ce que vous en montrez, que vous découvrez tant de mérite à vos spectateurs, que vous surprenez moins les oreilles que les yeux, et qu'il est incomparablement plus difficile de croire tout ce qu'on voit de vous, que de croire tout ce que l'on en entend dire.
Tite, MONSEIGNEVR, à voſtre abord ne peut eſtre que tres ſurpris;	Tite, MONSEIGNEUR, à votre abord ne peut être que très surpris;
n’importe, il faut qu’il vous cede, & qu’il aduouë à toute la terre qu’il a merité le ſurnom des Delices du genre humain, auec moins de Iuſtice, que Voſtre ALTESSE ROYALE ne l’a fait, & que vous en eſtes d’autant plus digne, que n’ayant point d’empire comme luy, vous vous eſtes acquis par vous ſeul l’inclination de tous les hommes.	n'importe, il faut qu'il vous cede, et qu'il avoue à toute la terre qu'il a mérité le surnom des Délices du genre humain, Se moins de Justice, que Votre ALTESSE ROYALE ne l'a fait, et que vous en êtes d'autant plus digne, que n'ayant point d'empire comme lui, vous vous êtes acquis par vous seul l'inclination de tous les hommes.
Oüy, vous l’emportez touſiours ſur Tite, & de quelque façon que ce ſoit, voſtre politeſſe eſt plus touchante que la ſienne:	Oui, vous l'emportez toujours sur Tite, et de quelque façon que ce soit, votre politesse est plus touchante que la sienne:
Vous eſtes mieux fait & plus galant qu’il ne le fut iamais, & s’il n’auoit à conſiderer vos qualitez heroiques, ie larreſterois ſur ces charmans aduantages que vous poſſedez, & qui vous ont fait à l’envy les Delices des deux SeI xes.	Vous êtes mieux fait et plus galant qu'il ne le fut jamais, et s'il n'avait à considérer vos qualités héroïques, Seigneur larresterois sur ces charmands avantages que vous possédez, et qui vous ont fait à l'envi les Délices des deux SeI xes.
Ie luy ferois remarquer, MON 1 J31 SEIGNEVR, que iamais la nature n’a ODUL fait vn Prince plus aimable que vous:	Je avait ferais remarquer, MON 1 J31 SEIGNEUR, que jamais la nature n'a ODUL fait un Prince plus aimable que vous:
mais laiſſant à part ces aggreemens qui vous font donner plus damour que AVDIT vous n’en receuez, venons à ce qui rend 11 voſtre ALTESSE ROYALE, l’objet de 31111 noſtre admiration, & ce qui monſtre à 411 1 1 5 Tite qu’il ne vous a deuancé dans le 10 temps que comme vne Aurore qui deuoit preceder vn Soleil.	mais laissant à part ces agréments qui vous font donner plus damour que AUDIT vous n'en recevez, venons à ce qui rend 11 prit ALTESSE ROYALE, l'objet de 31111 notre admiration, et ce qui montre à 411 1 1 5 Tite qu'il ne vous a devancé dans le 10 temps que comme une Aurore qui devait précéder un Soleil.
N’eſtes vous pas, quoy que cette comparaiſon ſoit ſi commûne, tout éclatant de gloire, rien n’eſt de plus illuſtre que voſtre naiſſance, rien n’eſt de plus brillant que voſtre Eſprit, rien de plus ardant que voſtre Courage, rien de plus enflamé que voſtre Generoſité, & voſtre Ame n’eſt enfin qu’vne ſource perpetuelle de chaleur & de lumiere.	N'êtes vous pas, quoi que cette comparaison soit si commune, tout éclatant de gloire, rien n'est de plus illustre que votre naissance, rien n'est de plus brillant que votre Esprit, rien de plus ardant que votre Courage, rien de plus enflamé que votre Générosité, et votre Âme n'est enfin qu'une source perpétuelle de chaleur et de lumière.
Qu’on ne nous diſe point, MONSEIGNEVR, que voſtre Valeur n’a point paru comme celles des Alexandres & des Ceſars;	Qu'on ne nous dise point, MONSEIGNEUR, que votre Valeur n'a point paru comme celles des Alexandres et des Césars;
