M.	M.
DC.	DC.
XXXI.	XXXI.
–	
A AIXITL.	A ÀIIXITL.
E vous dedie cet ouurage, chaste Vranie, ſous ce beau nom emprunté;	E vous dédie cet ouvrage, chaste Vranie, sous ce beau nom emprunté;
afin qu’apres auoir publié vos perfections, tout le monde vous addreſſe ſes vœux, comme à la Deeſſe incognuë.	afin qu'après avoir publié vos perfections, tout le monde vous adresse ses vœux, comme à la Déesse inconnue.
Mais que dirayje pour vous loüer?	Mais que dirayje pour vous louer?
Pos cheueux noirs, portans touſiours le dueil de la mort de leurs eſclaues, ſont autant de liens qui enchaiſnent ma plume, auſſi ien que ma franchiſe, toutes les fois me ie veux depeindre le ſombre eſclat leurs merueilles animes.	Pos cheveux noirs, portant toujours le eil de la mort de leurs esclaves, sont autant de liens qui enchaînent ma plume, aussi yen que ma franchise, toutes les fois me ie veux dépeindre le sombre éclat leurs merveilles animes.
Voſtre front où la Jeuneſſe tient ſa Cour pour le deffendre des rides, a tant de Maieſté que mon imagination n'en ſçau.	Votre front où la Jeunesse tient sa Cour pour le défendre des rides, a tant de Majesté que mon imagination n'en sau.
roit retenir les idees;	roit retenir les idées;
comme beaucoup plus parfaites que ſa puiſſance.	comme beaucoup plus parfaites que sa puissance.
Vos yeux font des Cieux ouuerts, d’où ſortent mille charmes, & autant d’eſprits amoureux, qui rauiſſent le mien d’amour, apres l’auoir esblouy de leurs brillants appas.	Vos yeux font des Cieux ouverts, d'où sortent mille charmes, et autant d'esprits amoureux, qui ravissent le mien d'amour, après l'avoir ébloui de leurs brillants appas.
Ie n'oze iamais penſer à la grande perfection de la petiteſſe de voſtre bouche;	Je n'ose jamais penser à la grande perfection de la petitesse de votre bouche;
de peur que la Iustice & la Raiſon, qui prononcent leurs arrests ſur ſon throſne de Perles à deux ſieges, ne condamnent ma temerité.	de peur que la Justice et la Raison, qui prononcent leurs arrêts sur son trône de Perles à deux sièges, ne condamnent ma témérité.
Les mignardiſes de vostre menton fourchu ſont d’vne natu re ſi delicate, qu'elles ne ſçauroieu ſouffrir les loüanges d'elles meſmes Duamtrer jemieinent les Lys, & l Roſes de voſtre tein, i’apprehende qu mes regards, comme trop proſanes, i haſlent ſa beauté, de meſme que le rayons du Soleil.	Les mignardises de votre menton fourchu sont d'une natu re si délicate, qu'elles ne sauraient soupir les louanges d'elles mêmes Duamtrer jemieinent les Lys, et l' Oses de votre tein, j'appréhende qu mes regards, comme trop prosanes, y hâlent sa beauté, de rendre que le rayons du Soleil.
Pour voſtre ſein que ie ſuis contraint de comparer à deux petites montaignes de nege;	Pour votre sein que Dieu suis contraint de comparer à deux petites montagnes de nege;
parce qu'elles couurent vn cœur de glace, ie n'en ay iamais veu que la moitié au trauers des grilles d’vne priſon de toile tranſparente, où il ſouſpiroit à interuale de ſa captiuité.	parce qu'elles couvrent un cœur de glace, je n'en ai jamais vu que la moitié au travers des grilles d'une prison de toile transparente, où il soupirait à interval de sa captivité.
Ie vous laiſſe à penſer maintenant, ſi pour l’auoir veu à demy, i’en ay eſté charmé tout à fait;	Je vous laisse à penser maintenant, si pour l'avoir vu à demi, j'en ai été charmé tout à fait;
en quel degré de rauiſſement ie ſerois eſleuë le voyant tout entier ſans obſtacle.	en quel degré de ravissement ie serais esleuë le voyant tout entier sans obstacle.
Le reſte de voſtre corps eſt vne huictieſme merueille, dont on ne parle point;	Le reste de votre corps est une huictiême merveille, dont on ne parle point;
parce qu'elle napoint de nom propre.	parce qu'elle nappoint de nom propre.
Voſtre bel eſprit n’a que ce ſeul defaut de ne pouuoir cognoiſtre ſa perfection.	Votre bel esprit n'a que ce seul défaut de ne pouvoir connaître sa perfection.
Et toutesfois ceſte impuiſſance le rend ſi parfaict, qu'on eſt forcé de croire que ſes merites ſont ſans nombre, außi bien que ſans limites.	Et toutefois cette impuissance le rend si parfait, qu'on est forcé de croire que ses mérites sont sans nombre, aussi bien que sans limites.
Je veux louër encore vos vertus, quoy qu’elles ſoient ennemies de mes paſſionen publiant par tout le monde qu’il eſt remply du bruit de voſtre gloire.	Je veux louer encore vos vertus, quoi qu'elles soient ennemies de mes passionen publiant par tout le monde qu'il est rempli du bruit de votre gloire.
Comme eſtant la plus chaſte de voſtre ſexe, la plus belle de noſtre ſiecle, & la plus genereuſe qui fut iamais.	Comme étant la plus chaste de votre sexe, la plus belle de notre siècle, et la plus généreuse qui fut jamais.
Voila toutes vos qualitez chere Vranie, & voicy tous mes tiltres.	Voilà toutes vos qualités chère Vranie, et voici tous mes titres.
L ECTEVR Ly a certains eſprits folets qui en veulent à mon ombre, n’oſans regarder mõ corps qu’en relief, ou qu’en peinture.	L ECTEUR Ly a certains esprits folets qui en veulent à mon ombre, n'osans regarder mon corps qu'en relief, ou qu'en peinture.
Et uoy que ces Ixions n’embraſſent iamais que des nuës, ie ſuis ialoux que ma gloire leur ſerue de Iunon;	Et ois que ces Ixions n'embrassent jamais que des nues, ie fait jaloux que ma gloire leur serve de Junon;
d’autant que leur puiſſance ſeruile n’a nulle ſorte de rapport auec vn obiect ſi releué.	d'autant que leur puissance servile n'a nulle sorte de rapport avec un objet si relevé.
Ce n’eſt pas que ie ſoie amoureux de moy-meſme.	Ce n'est pas que ici soie amoureux de moi-même.
Mon miroir ne flatte point.	Mon miroir ne flatte point.
Mais ie ſuis fort aiſe qu’on me paye ſi peu qu’on me doit;	Mais ie suis fort aise qu'on me paye si peu qu'on me doit;
que ſi par enuie mes creanciers font banqueroute.	que si par envie mes créanciers font banqueroute.
ie ſuis aſſez ſatisfait de ce qu’ils me demeu tent redeuables.	Il suis assez satisfait de ce qu'ils me demeu tent redevables.
