GRUEL	GRUEL
M.	M.
DC.	DC.
LXXX.	LXXX.
AVEC PRIVILEGE DV ROY.	AVEC PRIVILÈGE DU ROY.
PREFACE.	PRÉFACE.
A mort de Statira cauſée par la jalouſie de Roxane, eſt aſſez marquée dans Plutarque, pour faire le ſujet d’une Tragédie;	À mort de Statira causée par la jalousie de Roxane, est assez marquée dans Plutarque, pour faire le sujet d'une Tragédie;
& le caractere de Roxane eſt trop connu par ſes cruautez, pour pouvoir rien altérer de la verité.	et le caractère de Roxane est trop connu par ses cruautés, pour pouvoir rien altérer de la vérité.
Ainſi quoy que M* de la Calprenede dans ſon Roman de Caſſandre, ait fait revivre Statira, je n’ay pas crû devoir ſuivre ſon exemple, les regles du Poëme Dramatique eſtant plus auſteres que celles du Roman, qui permet beaucoup de fiction, quand l’autre s’aitache le plus qu’il peut à la verité.	Ainsi quoi que M* de la Calprenede dans son Roman de Cassandre, ait fait revivre Statira, je n'ai pas crû devoir suivre son exemple, les règles du Poème Dramatique étant plus austères que celles du Roman, qui permet beaucoup de fiction, quand l'autre s'aitache le plus qu'il peut à la vérité.
L’amour de Leonatus & de Stat'ra font l’Epiſode & le nœud de cette Piece.	L'amour de Léonatus et de Stat'ra font l'Épisode et le nœud de cette Pièce.
Quelques-uns ont esté ſurpris que j’aye choiſy Leonatus entre tous les Succeſſeurs d’Aléxandre, pour Amant de Statira;	Quelques-uns ont été surpris que j'aie choisi Léonatus entre tous les Successeurs d'Alexandre, pour Amant de Statira;
mais j’ay eu des raiſons aſſez fortes pour le faire.	mais j'ai eu des raisons assez fortes pour le faire.
Leonatus estoit un Prince du ſang d’Aléxandre, fort illuſtre par ſes exploits.	Léonatus était un Prince du sang d'Alexandre, fort illustre par ses exploits.
Il avoit commandé en chef pluſieurs fois les Armées d’Aléxandre;	Il avait commandé en chef plusieurs fois les Armées d'Alexandre;
il luy avoit ſauvé la vie dans la Ville des Oxydraques, & ce fuſt luy qui fuſt envoyé apres la Bataille d’Iſſus dans les Tentes des Princeſſes, pour les aſſurer de la vie de Darius, qu’elles croyoient mort.	il lui avait sauvé la vie dans la Ville des Oxydraques, et ce fût été qui fût envoyé après la Bataille d'Issus dans les Tentes des Princesses, pour les assurer de la vie de Darius, qu'elles croyaient mort.
C’eſt dans cette entreveuë où j’ay fait naître leur tendreſſe, & cet endroit a paru aſſez beau.	C'est dans cette entrevue où j'ai fait naître leur tendresse, et cet endroit a parue assez beau.
Il partagea l’Empire du Monde avec tous les Succeſſeurs d’Aléxandre;	Il partagea l'Empire du Monde avec tous les Successeurs d'Alexandre;
& quoy qu’il ne faſſe pas une grande figure dans le Roman, il en fait une aſſezgrande dans l’Hiſtoire, & il me doit ſuffire qu’il ſoit celebre dans, Quinte-Curſe & dans Justin.	et quoi qu’il ne fasse pas une grande figure dans le Roman, il en fait une assezgrande dans l'Histoire, et il me doit suffire qu'il soit célèbre dans, Quinte-Curse et dans Justin.
