A PARIS.	À PARIS.
M DC.	M MCC.
LXXIX.	LXXIX.
LES PERSONNAGES.	LES PERSONNAGES.
ERASTE, Amant de Lucile.	ERASTE, Amant de Lucile.
ALBERT, Pere de Lucile.	ALBERT, Père de Lucile.
ROS-REN E', Valet d’Eraſte.	ROS-REN E', Valet d'Éraste.
n n n l ay aade lonideles	 n n' ai ade lonidèles
E d e lL E 3 lllicamoen.	E d eût lIgNE 3 lllicamoamen.
I ARINETTE, Suivante de Lucile.	I JRINETTTE, Suivante de Lucile.
L Y DOR E, Tere de Valère.	 Y DOR E, Tere de Valère.
o SINE, Confidente d’Aſcagne.	ô SÌNE, Confidente d'Ascagne.
I A SCARILLE, Valet de Valere.	I À SCARILLE, Valet de Valère.
4 E APHRASTE, Pedant.	4 E PHRASTE, Pédant.
LA RAPIERE, Preteur.	LA RAPIÈRE, Preteur.
A MONSTEUR MONSIEUR HOURLIER, Eſcuyer, Sieur de Mericourt, Conſeiller du Roy, Lieutenant General Civil & Criminel au Baillage du Palais à Paris.	À MONSTEUR MONSIEUR HOURLIER, Escuyer, Sieur de Mericourt, Conseiller du Roi, Lieutenant Général Civil et Criminel au Baillage du Palais à Paris.
ONSIEUR, Si cette Piece n’avoit receu les applaudiſſemens de toute la France, ſi elle n’avoit eſté le charme de Paris, & ſi elle n’avoit eſté le divertiſſement du plus grand Monarque de la Terre, je ne prendrois pas la liberté de vous l’offrir.	ONSIEUR, Si cette Pièce n'avait reçu les applaudissements de toute la France, si elle n'avait été le charme de Paris, et si elle n'avait été le divertissement du plus grand Monarque de la Terre, je ne prendrais pas la liberté de vous l'offrir.
Il y a long-temps que j’avois reſolu de vous preſenter quelque choſe qui vous marquaſt mes reſpects;	Il y a longtemps que j'avais résolu de vous présenter quelque chose qui vous marquât mes respects;
Mais ne trouvant rien qui fût digne de vous eſtre offert, & qui fût proportionné à vos merites, j’avois toûjours differé le juſte & reſpectueux hommage que je m’eſtois propoſé de vous rendre;	Mais ne trouvant rien qui fût digne de vous être offert, et qui fût proportionné à vos mérites, j'avais toujours différé le juste et respectueux hommage que je m'étais proposé de vous rendre;
& j’euſſe peut-eſtre encore tardé long-temps à le faire, ſi le Dépit Amoureux de l’Auteur le plus approuvé de ce ſiecle ne me fût tombé entre les mains.	et j'eusse peut-être encore tardé longtemps à le faire, si le Dépit Amoureux de l'Auteur le plus approuvé de ce siècle ne me fût tombé entre les mains.
J’ay crû, Monſieur, que je ne devois pas laiſſer échapper cette occaſion de ſatisfaire aux loix que je m’eſtois impoſée;	J'ai cru, Monsieur, que je ne devais pas laisser échapper cette occasion de satisfaire aux lois que je m'étais imposée;
& que tous les gens d’eſprit demandans tous les jours cette piece, pour avoir le plaiſir de la lecture, comme ils ont eu celuy de la repreſentation, ils ſeroient bien-aiſes de rencontrer voſtre nom à la teſte.	et que tous les gens d'esprit demandant tous les jours cette pièce, pour avoir le plaisir de la lecture, comme ils ont eu celui de la représentation, ils seraient bien-aises de rencontrer votre nom à la tête.
Pour moy, Monſieur, ma joye ſera tout à fait grande de le voir paſſer non ſeulement dans pluſieurs mains, mais encore dans la bouche des plus charmantes perſonnes du monde.	Pour moi, Monsieur, ma joie sera tout à fait grande de le voir passer non seulement dans plusieurs mains, mais encore dans la bouche des plus charmantes personnes du monde.
C’eſt alors que chacun ſe ſouviendra de toutes les belles & avantâgeuſes qualitez que vous poſſedez, que les uns lbüeront voſtre Prudence, les autres voſtre eſprit, les autres voſtre Juſtice, les autres la douceur qui eſt inſeparable de tout ce que vous faites, & qui eſt ſi vivement depeinte ſur voſtre viſage, qu’il n’eſt perſonne qui puiſſe douter que vos actions en ſoient remplies.	C'est alors que chacun se souviendra de toutes les belles et avantâgeuses qualités que vous possédez, que les uns lbüeront était Prudence, les autres votre esprit, les autres vôtre Justice, les autres la douceur qui est inséparable de tout ce que vous faites, et qui est si vivement dépeinte sur votre visage, qu'il n'est personne qui puisse douter que vos actions en soient remplies.
Jugez, Monſieur, quelle ſatisfaction j’auray de ſçavoir que l’on rendra à voſtre merite ce qui luy eſt deu, que l’on vous donnera des loüanges que vous avez ſi legitimement meritées, que l’on m’eſtimera d’avoir fait un ſi juſte choix, & ſi glorieux pour moy, & que l’on loüera le zele & le reſpect avec lequel je ſuïs,	Jugez, Monsieur, quelle satisfaction j'aurai de savoir que l'on rendra à votre mérite ce qui lui est dev, que l'on vous donnera des louanges que vous avez si légitimement mérité, que l'on m'estimera d'avoir fait un si juste choix, et si glorieux pour moi, et que l'on laissera le zèle et le respect avec lequel je sujet,
MONSIEUR,	MONSIEUR,
Voſtre tres-humble, & tres-obeïſſant ſerviteur, G.	Votre très-humble, et très-obeïssant serviteur, G.
QUINET.	QUINET.
DE'PIT AMOUREUX.	DÉPIT AMOUREUX.
COMEDIE.	COMÉDIE.
ACTE PREMIER.	ACTE PREMIER.
SCENE PREMIERE.	SCÈNE PREMIÈRE.
ERASTE, GROS-RENE.	ERASTE, GROS-RENE.
ERASTE.	ERASTE.
Eux-tu que je te die?	Eux-tu que je te die?
une atteinte ſecrete Ne laiſſe point mon ame en une bonne aſſiette:	une atteinte secrète Ne laisse point mon âme en une bonne assiette:
Ouy, quoy qu’à mon amour tu puiſleg ieparar, Il craint d’eſtre la dupe, à ne te point mentir:	Oui, quoi qu'à mon amour tu puisleg ieparar, Il craint d'être la dupe, à ne te point mentir:
Qu’en faveur d’un rival ta foy ne ſe corrompe, Ou du moins, qu’avec moy, toy-même on ne te trompe.	Qu'en faveur d'un rival ta foi ne se corrompe, Ou du moins, qu'avec moi, toi-même on ne te trompe.
ROS-RENE’.	ROS-RENE.
Pour moy, me ſoupçonner de quelque mauvais tour, Je diray, n’en déplaiſe à Monſieur voſtre amour, Que c’eſt injuſtement bleſſer ma preud’hommie, Et ſe connoiſtre mal en phiſionomie.	Pour moi, me soupçonner de quelque mauvais tour, Je dirai, n'en déplaise à Monsieur votre amour, Que c'est injustement blesser ma prud'hommie, Et se connaître mal en physionomie.
Les gens de mon minois ne ſont point accuſez D'eſtre, graces à Dieu, ny fourbes ny ruſez:	Les gens de mon minais ne sont point accusés D'être, grâces à Dieu, ni fourbes a rusez:
Cet honneur qu’on nous fait je ne le démens gueres, Et ſuis homme fort rond, de toutes les manieres.	Cet honneur qu'on nous fait je ne le déments guères, Et suis homme fort rond, de toutes les manières.
Pour que l’on me trompaſt, cela ſe pourroit bien;	Pour que l'on me trompât, cela se pourrait bien;
Le doute eſt mieux fondé;	Le doute est mieux fondé;
pourtant je n’en croy rien.	pourtant je n'en crois rien.
Je ne voy point encore, ou je ſuis une beſte, Surquoy vous avez pû prendre martel-en-teſte.	Je ne vois point encore, ou je suis une bête, Surquoy vous avez pu prendre martel-en-teste.
Lucile, à mon avis, vous montre aſſez d’amour, Elle vous voir, vous parle, à toute heure du jour, Et Valere après-tour qui cauſe voſtre crainte, Semble n’eſtre à preſent ſouffert que par contrainte.	Lucile, à mon avis, vous montre assez d'amour, Elle vous voir, vous parle, à toute heure du jour, Et Valère après-tour qui cause vôtre crainte, Semble n'être à présent souffert que par contrainte.
ERASTE.	ERASTE.
Souvent d’un faux eſpoir un amant eſt nourry;	Souvent d'un faux espoir un amant est nourri;
Le mieux receu toûjours n’eſt pas le plus chery;	Le mieux reçu toujours n'est pas le plus chéri;
Et tout ce que d’ardeur font paroiſtre les femmes, Parfois n’eſt qu’un beau voile à couvrir d’autres flames.	Et tout ce que d'ardeur font paraître les femmes, Parfois n'est qu'un beau voile à couvrir d'autres flammes.
Valere enfin, pour eſtre un amant rebuté, Montre depuis un temps trop de tranquilité;	Valère enfin, pour être un amant rebuté, Montre depuis un temps trop de tranquille;
Et ce qu’à ces faveurs, dont tu crois l’apparence, Il témoigne de joye ou bien d’indifference, M’empoiſonne à tous coups leurs plus charmans appas, Me donne ce chagrin que tu ne comprens pas;	Et ce qu'à ces faveurs, dont tu crois l'apparence, Il témoigne de joie ou bien d'indifférence, M'empoisonne à tous coups leurs plus charmands appas, Me donne ce chagrin que tu ne comprends pas;
Tient mon bonheur en doute, & me rend difficile Une entiere croyance aux propos de Lucile.	Tient mon bonheur en doute, et me rend difficile Une entière croyance aux propos de Lucile.
Je voudrois, pour trouver un tel deſtin plus doux, Y voir entrer un peu de ſon tranſport jaloux, Et ſur ſes déplaiſirs & ſon impatience Mon ame prendroit lors une pleine aſſeurance.	Je voudrais, pour trouver un tel destin plus doux, Y voir entrer un peu de son transport jaloux, Et sur ses déplaisirs et son impatience Mon âme prendrait lors une pleine assurance.
Toy même, penſe tu, qu’on puiſſe, comme il fait, Voir cherir un rival d’un eſprit ſatisfait?	Toi -même, pense tu, qu'on puisse, comme il fait, Voir chérir un rival d'un esprit satisfait?
Et, ſi tu n’en crois rien, dy moy, je t’en conjure, Si j’ay lieu de rever deſſus cette avanture.	Et, si tu n'en crois rien, dis -moi, je t'en conjure, Si j'ai lieu de rêver dessus cette aventure.
GROS-RENE'.	GROS-RENE'.
Peut- eſtre que ſon cœur a changé de deſirs Conomant quipeunen dmamesiourds	Peut- être que son cœur a changé de désirs Conomant quipeunen dmamesiourds
ERASTE.	ERASTE.
Lorſque par les rebuts une ame eſt détachée, Elle veut fuir l’objet dont elle fut touchée, Et ne rompt point ſa chaiſne avec ſi peu d’éclat, Qu’elle puiſſe reſter en un paiſible eſtat:	Lorsque par les rebuts une âme est détachée, Elle veut fuir l'objet dont elle fut touchée, Et ne rompt point sa chaîne avec si peu d'éclat, Qu'elle puisse rester en un paisible état:
De ce qu’on a chery la fatale preſence Ne nous laiſſe jamais dedans l’indifference;	De ce qu'on a chéri la fatale présence Ne nous laisse jamais dedans l'indifférence;
Et, ſi de cette veuë on n’acroiſt ſon dedain, Noſtre amour eſt bien prés de nous rentrer au ſein.	Et, si de cette vue on n'acrait son dédain, Notre amour est bien près de nous rentrer au sein.
Enfin, croy moy, ſi bien qu’onéteigne une flame, Un peu de jalouſie occupe encore une ame, Et l'on ne ſçauroit voir, ſans en eſtre piqué, Poſſeder par un autre un cœur qu’on a manqué.	Enfin, crois -moi, si bien qu'on a flame, Une flamme de jalousie occupe encore une âme, Et l'on ne saurait voir, sans en être piqué, Posséder par un autre un cœur qu'on a manqué.
GROS-RENE'.	GROS-RENE'.
Pour moy, je ne ſçay point tant de philoſophie;	Pour moi, je ne sais point tant de philosophie;
Ce que voyent mes yeux, franchement je m’y fie, Et ne ſuis point de moy ſi mortel ennemy, Que je m’aille affliger ſans ſujet, ny demy, Pourquoy ſubtiliſer, & faire le capable A chercher des raiſons pour eſtre miſerable?	Ce que voient mes yeux, franchement je m'y fie, Et ne suis point de moi si mortel ennemi, Que je m'aille affliger sans sujet, ni demi, Pourquoi subtiliser, et faire le capable A chercher des raisons pour être misérable?
Sur des ſoupçons en l’air je m’irois allarmer?	Sur des soupçons en l'air je m'irais alarmer?
Laiſſons venir la feſte avant que la chomer.	Laissons venir la fête avant que la chômer.
Le chagrin me paroiſt une incommode choſe;	Le chagrin me paraît une incommode chose;
Je n’en prens point pour moy, ſans bonne & juſte cauſe;	Je n'en prends point pour moi, sans bonne et juste cause;
Et mêmes à mes yeux cent ſujets d’en avoir S’offrent le plus ſouvent que je ne veux pas voir.	Et mêmes à mes yeux cent sujets d'en avoir S'offrent le plus souvent que je ne veux pas voir.
Avec vous en amour je cours même fortune;	Avec vous en amour je cours même fortune;
Celle que vous aurez me doit eſtre commune;	Celle que vous aurez me doit été commune;
La maiſtreſſe ne peut abuſer voſtre foy, A moins que la ſuivante en faſſe autant pour moy :	La maîtresse ne peut abuser votre foi, À moins que la suivante en fasse autant pour moi :
Mais j’en fuis la penſée avec un ſoin extréme.	Mais j'en fuis la pensée avec un soin extrême.
Je veux croire les gens quand on me dit, je t’aime;	Je veux croire les gens quand on me dit, je t'aime;
Et ne vais point chercher, pour m’eſtimer heureux, Si Maſcarille, ou non, s’arrache les cheveux.	Et ne vais point chercher, pour m'estimer heureux, Si Mascarille, ou non, s'arrache les cheveux.
Que tantoſt Marinette endure qu’à ſon aiſe	Que tantôt Marinette endure qu'à son aise
JodeJodelet par plaiſir la careſſe & la baiſe, Et que ce beau rival en rie ainſi qu’un foû, A ſon exemple auſſi j’en riray tout mon ſaoû;	JodeJodelet par plaisir la caresse et la baise, Et que ce beau rival en rie ainsi qu'un fou, À son exemple aussi j'en rirai tout mon saoû;
Et l’on verra qui rit avec meilleure grace.	Et l'on verra qui rit avec meilleure grâce.
ERASTE.	ERASTE.
Voilà de tes diſcours.	Voilà de tes discours.
GROS-RENE'.	GROS-RENE'.
Mais je la voy dur pane.	Mais je la vois dur pane.
SCENE II.	SCÈNE II.
MARINETTE, ERASTE, GROS-RENE',	MARINETTTE, ERASTE, GROS-RENE',
GROS-RENE’.	GROS-RENE'.
ST, Marinette.	ST, Marinette.
MARINETTE.	MARINETTTE.
Ho, ho.	Ho, ho.
Que fais-tu là?	Que fais-tu là?
GROS-RENE.	GROS-RENE.
Ma foy, Demande, nous eſtions tout à l’heure ſur toy.	Ma foi, Demande, nous étions tout à l'heure sur toi.
MARINETTE.	MARINETTTE.
Vous ontenuuntia emonneur, depuis tine neure Vous m’avez fait troter comme un Baſque, je meure.	Vous ontenvuntia emonneur, depuis tine neure Vous m'avez fait troter comme un Basque, je meure.
Comment?	Comment?
ERASTE.	ERASTE.
MARINETTE.	MARINETTTE.
Tour vous chercher j’ay fait dix mille pas, Et vous promets, ma foy.	Tour vous chercher j'ai fait dix mille pas, Et vous promets, ma foi.
ERASTE,	ERASTE,
MARINETTE.	MARINETTTE.
Au temple, au cours, chez vous, ny dans la grande place.	Au temple, au cours, chez vous, ni dans la grande place.
GROS-RENE’.	GROS-RENE'.
Il falloit en jurer.	Il fallait en jurer.
ERASTE.	ERASTE.
Aprend moy donc de grace Quiie lai laeuulenes	Apprend moi donc de grâce Quiie lai laeuulenes
MARINETTE.	MARINETTTE.
Quelqu’un, en verité, Qui pour vous n’a pas trop mauvaiſe volonté.	Quelqu'un, en vérité, Qui pour vous n'a pas trop mauvaise volonté.
Ma maiſtreſſe en un mot.	Ma maîtresse en un mot.
ERASTE.	ERASTE.
Ha!	Ha!
chere Marinette, Ton diſcours de ton cœur eſt.	chère Marinette, Ton discours de ton cœur est.
il bien l’interprete?	il bien l'interprète?
Ne me déguiſe point un miſtere fatal, Je ne t’en voudray pas pour cela plus de mal :	Ne me déguise point un mystère fatal, Je ne t'en voudrai pas pour cela plus de mal :
Au nom des Dieux, dy moy ſi ta belle maiſtreſſe N’abuſe point mes vœux d’une fauſſe tendreſſe.	Au nom des Dieux, dis moi si ta belle maîtresse N'abuse point mes vœux d'une fausse tendresse.
MARINETTE.	MARINETTTE.
Hé, hé, d’où vous vient donc ce plaiſant mouvemem?	Hé, hé, d'où vous vient donc ce plaisant mouveme?
Elle lle lalt pasvel Mivelon ICiineir s Quel garant eſt ce encor que voſtre amour demande?	Elle lèle lalt pasvel Mivelon ICiineir s Quel garant est ce encor que votre amour demande?
Que luy faut il?	Que lui faut il?
GROS-RENE’.	GROS-RENE'.
A moins que Valere ſe pende, Bagatelle;	À moins que Valère se pende, Bagatelle;
ſon cœur ne s’aſſeurera point.	son cœur ne s'assurera point.
Comment?	Comment?
d a d l A NEATEv	d a dès À NEATEv
GROS-RENE’.	GROS-RENE'.
