TRAGI-COMEDIE PLAISANTE ET FACETIEVSE.	TRAGI-COMÉDIE PLAISANTE ET FACÉTIEUSE.
INTITVLEE LA SVBTILITE' DR Fanfreluche & Gaudichon & comme il ſui tiporse par le Diable.	INTITULÉE LA SVBTILITE DR Fanfreluche et Gaudichon et comme il zvi viporse par le Diable.
ROVEN, Sçez Abrabám Couſturier, ruë de la groſſe Horloge seuant les deux Cigoignes, YN chacun cognoiſtra par ceſte preſente hiſtoires Y combien eſt grande & perilleuſe la tentation du diable, combien ſes lacs ſont cauteriſez, pource que ce miſerable duquel nous faiſons mention à l’ouuerture de ceſte Tragi-comedie, eſtant pouſsé de l’enne my diabolique, lequel ne l’a iamais laiſſé iuſqu’au bout de ſa vie, lequel nous monſtre vn ſanglant & deplorable adieu:	ROUEN, Sez AbrabrabI Couturier, rue de la grosse Horloge seuant les deux Cigoignes, IN chacun connaîtra par cette présente histoires Y combien est grande et périlleuse la tentation du diable, combien ses lacs sont cautérisez, pource que ce misérable duquel nous faisons mention à l'ouverture de cette Tragi-comédie, étant poussé de l'enne mi diabolique, lequel ne l'a jamais laissé jusqu'au bout de sa vie, lequel nous montre un sanglant et déplorable adieu:
car ceſt aueuglé, ayant trouué le moyen de ſedoire vne ieune fille par ſes diſcours & flatteries, auec la ſubtilité d’vn certain docteur.	car cet aveuglé, ayant trouvé le moyen de sédoire une jeune fille par ses discours et flatteries, avec la subtilité d'unité certain docteur.
Ce miſerable contrefaiſant le docteur, abuſa le vieillard pere de Gaudichon, lequel luy donna la fille en mariage, pour monſtrer la ſpacioſité du lac de ceſt eſprit diabolique, leque!	Ce misérable contrefaisant le docteur, abusa le vieillard père de Gaudichon, lequel lui donna la fille en mariage, pour montrer la spaciosité du lac de cet esprit diabolique, leque!
tenoit ce malheureux grandement enlacé:	tenait ce malheureux grandement enlacé:
Arriué qu’eſtant marié, & ne pouuant de quel artifice vaincre le temps;	Arrivé qu'étant marié, et ne pouvant de quel artifice vaincre le temps;
trouue ceſt ennemy en ſa voye, auquel il demande l’eſpoir ou le ſetret de viure heureuſement;	trouve cet ennemi en sa voie, auquel il demande l'espoir ou le set de vivre heureusement;
auſſi toſt ceſt eſprit preſtant l’oreille, ne dormãt iamais prés de l’homme incenſé, luy reſpond, que s’il luy vouloit donner vn poil de ſes cheueux, qu’il le feroit iouyr de grande finance, laquelle choſe il luy octroya, & auſſi toſt cogneut que ſa legereté luy cauſoit la perdition de ſon ame:	aussi tôt cet esprit prêtant l'oreille, ne dormant jamais près de l'homme incensé, Seigneur répond, que s'il lui voulait donner un poil de ses cheveux, qu'il le ferait jouir de grande finance, laquelle chose il lui octroya, et aussi tôt connut que sa légèreté lui causait la perdition de son âme:
car eſtant au lict malade & abregeant ſa vie, fut emporté furieuſement par ceſtennemy en l’infernal	car étant au lit malade et abrégeant sa vie, fut emporté furieusement par cestennemy en l'infernal
