Vôtre tres-humble & tres-obeïſſant Serviteur.	Votre très-humble et très-obeïssant Serviteur.
MONSIEUR LUCAS, Pere de Madame Martin.	MONSIEUR LUCAS, Père de Madame Martin.
LA MARQUISE DESCROQUANT.	LA MARQUISE DESCROQUANT.
MADAME PINSONNIERE, femme d’un	MADAME PINSONIERE, femme d'un
UN PAISAN.	UN PAYSAN.
LA BOURGEOISE MADAME COMEDIE.	LA BOURGEOISE MADAME COMÉDIE.
MCIE I.	MCIE I.
SCENEI LE MARQUIS, ISABELLE.	SCENEI LE MARQUIS, ISABELLE.
M LE MARQUIS.	M ME MARQUIS.
DY, charmante Iſabelle?	DY, charmante Isabelle?
& vous l’avez pû croire?	et vous l'avez pu croire?
rimez un dilcours qui fait tort à ma gloire;	rimez un dilcours qui fait tort à ma gloire;
Moy, vous être infidele?	Moi, vous être infidèle?
hé ſur quelle raiſon Avez-vous pû fonder cét injuſte ſoupçon?	hé sur quelle raison Avez-vous pu fonder cet injuste soupçon?
SABELLE.	SABELLE.
J’ay tort, je vous l’avoüe, & ce n’eſt qu’avec peine ie j’ay ſur ce recit crû la choſe certaine;	J'ai tort, je vous l'avoue, et ce n'est qu'avec peine ie j'ai sur ce récit crû la chose certaine;
Mais l’on ma ſi bien ſçû confirmer ce matin Que vous étiez épris de Madame Martin;	Mais l'on ma si bien sçû confirmer ce matin Que vous étiez épris de Madame Martin;
Que malgré vôtre ardeur, malgré vôtre promeſſe, Je n’ay pû m’empêcher d’avoir cette foibleſſe, Ouy, Mr, je l’ay crû.	Que malgré votre ardeur, malgré votre promesse, Je n'ai pu m'empêcher d'avoir cette faiblesse, Oui, Mr, je l'ai cru.
Ce n’eſt pas que mon cœur De tous vos interêts fidele défenſeur, N’ait pris vôtre parti:	Ce n'est pas que mon cœur De tous vos intérêts fidèle défenseur, N'ait pris votre parti:
mais ma raiſon mal ſûre, S’appuyant foiblement ſur quelque conjecture, Et s’armant contre vous, pour la premiere fois, M’a fait pour la Bourgeoiſe entrevoir des endroits Dans vos yeux, dans vos ſoins, dans toutes vos manieres, Trop tendres, trop touchans pour n’être pas ſinceres;	mais ma raison mal sure, S'appuyant faiblement sur quelque conjecture, Et s'armant contre vous, pour la première fois, M'a fait pour la Bourgeoise entrevoir des endroits Dans vos yeux, dans vos soins, dans toutes vos manières, Trop tendres, trop touchants pour n'être pas sincères;
Que vous diray-jeemi, tous vos emprenemens Ont balancé chez moy la foy de vos ſermens, J’ay voulu dés ce ſoir ſans tarder vous l’apprendre.	Que vous dirai-jemoi, tous vos emprenements Ont balancé chez moi la foi de vos serments, J'ai voulu dès ce soir sans tarder vous l'apprendre.
LE MARQUIS.	LE MARQUIS.
Cïel!	Cel!
que me dites-vous, & que viens-je d’entendre!	que me dites-vous, et que viens-je d'entendre!
Eh pour qui ſont ces ſoins, & cét empreſſement, Eſt-ce pour la Bourgeoiſe?	Eh pour qui sont ces soins, et cet empressement, Est-ce pour la Bourgeoise?
Ah je vois qu’aiſément De vos ordres précis, vous perdez la memoire, Je ne vous dis plus rien, vous avez pû tout croire;	Ah je vois qu'aisément De vos ordres précis, vous perdez la mémoire, Je ne vous dis plus rien, vous avez pu tout croire;
Pour moy qui me ſouviens que vous m’avez cent fois Ordonné de la voir, je reſpecte vos loix, Je la vois tres-ſouvent, je luy dis des ſornettes, Plus que tous ſes Amans, je luy conte fleurettes, J’affecte devant elle une feinte langueur;	Pour moi qui me souviens que vous m'avez cent fois Ordonné de la voir, je respecte vos lois, Je la vois très-souvent, je lui dis des sornettes, Plus que tous ses Amants, je suis conte fleurettes, J'affecte devant elle une feinte langueur;
Je ſoûpire, & le tout, afin qu’en ma faveur, Elle puiſſe parler à Monſieur vôtre Pere, Ou rompre pour toûjours avec luy.	Je soupire, et le tout, afin qu'en ma faveur, Elle puisse parler à Monsieur votre Père, Ou rompre pour toujours avec mieux.
Mais l’affaire Dont je veux vous parler, me juſtifiera mieux, Ne perdons pas un temps qui nous eſt precieux.	Mais l'affaire Dont je veux vous parler, me justifiera mieux, Ne perdons pas un temps qui nous est précieux.
J’ay trop bien réüſſi dans nôtre tromperie Madame Martin m’aime, & juſqu’à la folie Ma perſonne, mon bien, mon air, ma qualité, Plus que je ne voudrois, flattent ſa vanité Mr de Châteaubreüil quoyque Maître des Comptes;	J'ai trop bien réussi dans notre tromperie Madame Martin m'aime, et jusqu'à la folie Ma personne, mon bien, mon air, ma qualité, Plus que je ne voudrais, flattent sa vanité Mr de Châteaubreüil quoique Maître des Comptes;
