M.	M.
DC.	DC.
LXII.	LXII.
Auec Priuilege du Roy.	Avec Privilège du Roi.
A MONSIEVR DE MOLIER, CHEF DE LA TROVPPE DES COMEDIENS DE MONSIEVR, FRERE VNIQVE DV ROY.	À MONSIEUR DE MOLIER, CHEF DE LA TROUPE DES COMÉDIENS DE MONSIEUR, FRÈRE VIQUE DU ROY.
ONSIEVR, Ayant eſté voir voſtre charmante Comedie du COCV IMAGINAIRE;	ONSIEUR, Ayant été voir votre charmante Comédie du COCU IMAGINAIRE;
la premiere fois qu’elle fit paroiſtre ſes beautez au public, elle me parut ſi admirable, que ie crus que ce n’eſtoit pas rendre iuſtice à vn ſi merueilleux Ouurage, que de ne le voir qu’vne fois, ce qui m’y fit retourner cinq ou ſix autres;	la première fois qu'elle fit paraître ses beautés au public, elle me parut si admirable, que sans crus que ce n'était pas rendre justice à un si merveilleux Ouvrage, que de ne le voir qu'une fois, ce qui m'y fit retourner cinq ou six autres;
& comme on retient aſſez facilement les choſes qui frappent viuement l’imagination, i’eus le bon-heur de la retenir entiere ſans aucun deſſein prémedité, & ie m’en apperceus d’vne maniere aſſez extraordinaire.	et comme on retient assez facilement les choses qui frappent vivement l'imagination, j'eus le bonheur de la retenir entière sans aucun dessein prémédité, et Seigneur m'en aperçus d'une manière assez extraordinaire.
Vn iour m’eſtant trouué dans vne aſſez celebre compagnie, où l’on s’entretenoit & de voſtre Eſprit, & du genie particulier que vous auez pour les Pieces de Theatre, ie coulay mon ſentiment parmy celuy des autres, & pour encherir pardeſſus ce qu’on diſoit à voſtre aduantage, ie voulus faire le recit de voſtre COCV IMAGINAIRE;	Un jour m'étant trouvé dans une assez célèbre compagnie, où l'on s'entretenait et de votre Esprit, et du génie particulier que vous avez pour les Pièces de Théâtre, tu coulai mon sentiment parmi celui des autres, et pour enchérir pardessus ce qu'on disait à votre avantage, une voulus faire le récit de votre COCU IMAGINAIRE;
mais ie fus bien ſurpris, quand ie vis qu’à cent Vers prés, ie ſçauois la Piece par cœur, & qu’au lieu du ſujet, ie les auois tous recitez;	mais ie pu bien surpris, quand ainsi vis qu'à cent Vers prés, tu sçauois la Pièce par cœur, et qu'au lieu du sujet, ie les avais tous récitez;
cela m’y fit retourner encore vne fois pour acheuer de retenir ce que ie n’en ſçauois pas.	cela m'y fit retourner encore une fois pour achever de retenir ce que je n'en savais pas.
Auſſi-toſt vn Gentil-homme de la Campagne de mes Amis, extraordinairement curieux de ces ſortes d’Ouurages, m’eſcriuit, & me pria de luy mander ce que c’eſtoit que le COCV IMAGINAIRE :	Aussitôt un Gentilhomme de la Campagne de mes Amis, extraordinairement curieux de ces sortes d'Ouvrages, m'escriuit, et me pria de même mander ce que c'était que le COCU IMAGINAIRE :
parce que, diſoit il, il n’auoit point veu de Piece dont le tiltre promiſt rien de ſi ſpirituel, ſi elle eſtoit traittée par vn habile homme.	parce que, disait -il, il n'avait point vu de Pièce dont le titre promît re prsi spirituel, si elle était traitée par un habile homme.
Ie luy enuoyay aunntort la Piece que i’auois retenuë, pour luy montrer qu’il ne s’eſtoit pas trompé;	Je lui envoyai aunntort la Pièce que j'avais retenue, pour lui montrer qu'il ne s'était pas trompé;
& comme il ne l’auoit point veuë repreſenter, ie creus à propos de luy enuoyer les Argumens de chaque Scene, pour luy montrer que quoy que cette Piece fût admirable, l’Autheur en la repreſentant luy-meſme y ſçauoit encore faire découurir de nouuelles beautez.	et comme il ne l'avait point vue représenter, Elle crus à propos de même envoyer les Arguments de chaque Scène, pour lui montrer que quoi que cette Pièce fut admirable, l'Auteur en la représentant Seigneur-même y savait encore faire découvrir de nouvelles beautés.
Ie n’oubliay pas de luy mander expreſſément, & meſme de le conjurer de n’en laiſſer rien ſortir de ſes mains;	Je n'oubliai pas de Seigneur mander expressément, et même de le conjurer de n'en laisser rien sortir de ses mains;
cependant ſans ſçauoir comment cela s’eſt fait, i’en ay veu courir huict ou dix copies en cette Ville, & i’ay ſceu que quantité de gens eſtoient preſts de la faire mettre ſous la preſſe;	cependant sans savoir comment cela s'est fait, j'en ai vu courir huit ou dix copies en cette Ville, et j'ai su que quantité de gens étaient prêts de la faire mettre sous la presse;
ce qui m’a mis dans vne colere d’autant plus grande, que la pluſpart de -- Pant ceux qui ont decrit cet Ouuiage, 1Ontellement défiguré, ſoit en y adjoûtant, ſoit en y diminuant, que ie ne l’ay pas trouué reconnoiſſable:	ce qui m'a mis dans une colère d'autant plus grande, que la plupart de - ès Pant ceux qui ont décrit cet Ouviage, 1Ontellement défiguré, soit en y ajoutant, soit en y diminuant, que sans ne l'ai pas trouvé reconnaissable:
& comme il y alloit de voſtre gloire & de la mienne, que l’on ne l’imprimaſt pas de la ſorte, à cauſe des Vers que vous auez faits, & de la Proſe que i’y ay adjouſtée, i’ay crû qu’il falloit aller au deuant de ces Meſſieurs, qui impriment les gens malgré qu’ils en ayent, & donner vne copie qui fuſt correcte (ie puis parler ainſi, puis que ie croy que vous trouuerez voſtre Piece dans les formes) i’ay pourtant combattu longtemps auant que de la donner;	et comme il y allait de votre gloire et de la mienne, que l'on ne l'imprimât pas de la sorte, à cause des Vers que vous avez faits, et de la Prose que j'y ai ajoutée, j'ai cru qu'il fallait aller au devant de ces Messieurs, qui impriment les gens malgré qu'ils en aient, et donner une copie qui fût correcte (ie puis parler ainsi, puis que je crois que vous trouverez votre Pièce dans les formes) j'ai pourtant combattu longtemps avant que de la donner;
mais enfin i’ay veu que c’eſtoit vne neceſſité que nous fuſſions imprimez, & ie m’y ſuis reſolu d’autant plus volontiers, que i’ay veu que cela ne vous pouuoit apporter aucun dommage, non plus qu’à voſtre Trouppe, puiſque voſtre Piece a eſté joüée prés de cinquante fois.	mais enfin j'ai vu que c'était une nécessité que nous fussions imprimez, et et ty suisurs m'autant plus volontiers, que j'ai vu que cela ne vous pouvait apporter aucun dommage, non plus qu'à votre Troupe, puisque votre Pièce a été jouée prés de cinquante fois.
Ie ſuis,	Je suis,
MONSIEVR,	MONSIEUR,
Voſtre tres-humble ſeruiteur ***	Votre très-humble serviteur *
A VN AMY.	À VN AMY.
ONSIEVR, Vous ne vous eſtes pas trompé dans voſtre penſée, lors que vous auez dit (auant que l’on le ioüaſt) que ſi le COCV IMAGINAIRE, eſtoit traité par vn habile homme, ce deuoit eſtre vne parfaitement belle Piece:	ONSIEUR, Vous ne vous êtes pas trompé dans votre pensée, lors que vous avez dit (avant que l'on le jouât) que si le COCU IMAGINAIRE, était traité par un habile homme, ce devait être une parfaitement belle Pièce:
C’eſt peurquoy ie croy qu’il ne me ſerai pas difficile de vous faire tomber d’accord de la beauté de cette Comedie, meſme auant que de l’auoir veuë, quand ie vous auray dit qu’elle part de la plume de l’Ingenteux Autheur des Pretieuſes Ridicules- Iugez aprés cela, ſi ce ne doit pas eſtre vn Ouurage tout à fait galand & tout à fait ſpirituel, puiſque ce ſont deux choſes que ſon Autheur poſſede auantageuſement.	C'est peurquoi votre croy qu'il ne me serai pas difficile de vous faire tomber d'accord de la beauté de cette Comédie, même avant que de l'avoir vue, quand tu vous aurai dit qu'elle part de la plume de l'Ingenteux Auteur des Pretieuses Ridicules- Augez après cela, si ce ne doit pas être un Ouvrage tout à fait galant et tout à fait spirituel, puisque ce sont deux choses que son Auteur possède avantageusement.
Elles y brillent außi auec tant d’éclat, que cette Piece ſurpaſſe de beaucoup toutes celles qu’il a faites, quoy que le ſuiet de ces Pretieuſes Ridicules ſoit tout à fait ſpirituel, & celuy de ſon Dépit Amoureux, tout à fait galand.	Elles y brillent aussi avec tant d'éclat, que cette Pièce surpasse de beaucoup toutes celles qu'il a faites, quoi que le sujet de ces Pretieuses Ridicules soit tout à fait spirituel, et celui de son Dépit Amoureux, tout à fait galant.
Mais vous en allez vous-meſme eſtre iuge dés que vous l’aurez leuë, & ie ſuis aſſeuré que vous y trouuerez quantité de Vers qui ne ſe peuuent payer, que plus vous relireZ, plus vous connoiſtrez auoir eſté profondement penſez.	Mais vous en allez vous-même ici juge dès que vous l'aurez lue, et votre suis assuré que vous y trouverez quantité de Vers qui ne se peuvent payer, que plus vous relirez, plus vous connaîtrez avoir été profondément pensez.
