Chez le Sieur GHERARDI, à l’Hoſtel de Bourgogne.	Chez le Sieur GHÉRARDI, à l'Hôtel de Bourgogne.
M.	M.
DC.	DC.
XCIV.	XCIV.
Avec Pr ivilege d Roy.	Avec Pr évilège d Roi.
ques-unes ont eu l’avantage de Vous divertir, quand Vous avez honoré nos Comedies de votre preſence.	ques-unes ont eu l'avantage de Vous divertir, quand Vous avez honoré nos Comédies de votre présence.
Je ſçais bien que quand on verra le grand Nom de VOTRE ALTESSE ROYALE à la teſte de ce Livre, il n’y a perſonne qui ne ſoit ſurpris du peu de proportion qu’il y a entre un Nom ſi auguſte & de pures bagatelles:	Je sais bien que quand on verra le grand Nom de VOTRE ALTESSE ROYALE à la tête de ce Livre, il n'y a personne qui ne soit surpris du peu de proportion qu'il y a entre un Nom si auguste et de pures bagatelles:
Mais, MADAME, ce qui peut juſtifier ma conduite en cette occaſion, c’eſt que je n’ay pas eu de choix à faire, & que les obligations infinies que j’ay à VOTRE ALTESSE ROYALE qui m’a fait ce que je ſuis, & l’approbation qu'ELLE a bien voulu donner à quelques-unes de ces Scenes détachées, m’engageoit indiſpenſablement à les Lu y offrir.	Mais, MADAME, ce qui peut justifier ma conduite en cette occasion, c'est que je n'ai pas eu de choix à faire, et que les obligations infinies que j'ai à VOTRE ALTESSE ROYALE qui m'a fait ce que je suis, et l'approbation qu'ELLE a bien voulu donner à quelques-unes de ces Scène détachées, m'engage indispensablement à les Lu y offrir.
Comme c’eſt un devoir dont je m’acquitte, j’eſpere qu’on ne regardera pas ce que contient mon Preſent, & qu’on me rendra la juſtice de croire, que ſi je n’offre que des bagatelles à VOTRE ALTESSE ROYALE, c’eſt que je n’ay que des bagatelles à Luy donner.	Comme c'est un devoir dont je m'acquitte, j'espère qu'on ne regardera pas ce que contient mon Présent, et qu'on me rendra la justice de croire, que si je n'offre que des bagatelles à VOTRE ALTESSE ROYALE, c'est que je n'ai que des bagatelles à Lui donner.
Que je ſerois heureux, MADAME, ſi la lecture de quelques-unes de ces Scenes pouvoit Vous faire le meſme plaiſir que Vous avez trouvé dans leur repreſentation.	Que je serais heureux, MADAME, si la lecture de quelques-unes de ces Scène pouvait Vous faire le même plaisir que Vous avez trouvé dans leur représentation.
Je ſçay bien qu’elles ne ſont pas toutes d’égale force:	Je sais bien qu'elles ne sont pas toutes d'égale force:
Mais, MADAME, elles ne ſeront pas toujours expoſées à des Juges auſſi éclairez que VOTRE ALTESSE ROYA*;	Mais, MADAME, elles ne seront pas toujours exposées à des Juges aussi éclairez que VOTRE ALTESSE ROYA*;
& chacun trouvera dequoy s’y divertir à proportion de la delicateſſe de fon goût.	et chacun trouvera dequoy s'y divertir à proportion de la délicatesse de son goût.
N’attendez pas, MADAME, que ſuivant le ſtile des Epitres Dedicatoires, j’aille étaler icy ces grandes qualitez qui Vous rendent les delices de la Cour, & l’admiration de toute la France.	N'attendez pas, MADAME, que suivant le style des Épîtres Dédicatoires, j'aille étaler ici ces grandes qualités qui Vous rendent les délices de la Cour, et l'admiration de toute la France.
Cette matiere eſt trop hors de ma portée:	Cette matière est trop hors de ma portée:
Je borne mon ambition à l’honneur de Vous divertir, & je me tiens trop heureux d’apprendre icy à tout le monde, que je ſuis avec un, tres profond vospect,	Je borne mon ambition à l'honneur de Vous divertir, et je me tiens trop heureux d'apprendre ici à tout le monde, que je suis avec un, très profond vospect,
MADiinE,	MADiinE,
De VOTRE ALTESSE ROYALE,	De VOTRE ALTESSE ROYALE,
Le tres-humble, tres obeïſſant, & tres ſoumis ſerviteur, EVARISTE GHERARDI.	Le très-humble, très obéissant, et très soumis serviteur, ÉVARISTE GHÉRARDI.
AVERITSSEMEIYI.	AVERITSSEMEIYI.
N ne doit pas s’attendre à trouver dans ce Livre des Comedies entieres, puiſque les Pieces Italiennes ne ſçauroient s’imprimer.	 Né doit pas s'attendre à trouver dans ce Livre des Comédies entières, puisque les Pièces Italiennes ne sauraient s'imprimer.
La raiſon eſt, que les Comediens Italiens n’apprennent rien par cœur, & qu’il leur ſuffit pour joüer une Comedie, d’en avoir vû le ſujet un moment avant que d’aller ſur le Theatre.	La raison est, que les Comédiens Italiens n'apprennent rien par cœur, et qu'il leur suffit pour jouer une Comédie, d'en avoir vu le sujet un moment avant que d'aller sur le Théâtre.
Auſſi la plus grande beauté de leurs Pieces eſt inſeparable de l’action.	Aussi la plus grande beauté de leurs Pièces est inséparable de l'action.
Le ſuccés de leurs Comedies dépend abſolument des Acteurs, qui leur donnent plus ou moins d’agrément, ſelon qu’ils ont plus ou moins d’eſprit, & ſelon la ſituation bonne ou mauvaiſe où ils ſe trouvent en jouant.	Le succès de leurs Comédies dépend absolument des Acteurs, qui leur donnent plus ou moins d'agrément, selon qu'ils ont plus ou moins d'esprit, et selon la situation bonne ou mauvaise où ils se trouvent en jouant.
C’eſt cette neceſſité de jouer ſur le champ, qui fait qu’on a tant de peine à remplacer un bon Comedien Italien, lors que malheureuſement il vient à manquer.	C'est cette nécessité de jouer sur le champ, qui fait qu'on a tant de peine à remplacer un bon Comédien Italien, lors que malheureusement il vient à manquer.
Il n’y a perſonne qui ne puiſſe apprendre par cœur, & reciter ſur le Theatre ce qu’il aura appris:	Il n'y a personne qui ne puisse apprendre par cœur, et réciter sur le Théâtre ce qu'il aura appris:
mais il faut tout autre choſe pour le Comedien Italien.	mais il faut tout autre chose pour le Comédien Italien.
Qui dit bon Comedien Italien, dit un homme qui a du fond, qui jouë plus d’imagination que de memoire, qui compoſe en jouant tout ce qu’il dit, qui ſçait ſeconder celuy avec qui il ſe trouve ſur le Theatre, c’eit a une, qui marle ſi bien ſes actions & ſes paroles avec celles de ſon Camarade, qu’il ſçait entrer ſur le champ dans tout le jeu & dans tous les mouvemens que l’autre luy demande.	Qui dit bon Comédien Italien, dit un homme qui a du fond, qui joue plus d'imagination que de mémoire, qui compose en jouant tout ce qu'il dit, qui sait seconder celui avec qui il se trouve sur le Théâtre, c'éit a une, qui marle si bien ses actions et ses paroles avec celles de son Camarade, qu'il faisait entrer sur le champ dans tout le jeu et dans tous les mouvements que l'autre Seigneur demande.
Il n’en eſt pas de meſme d’un Acteur qui jouë ſimplement de memoire:	Il n'en est pas de même d'un Acteur qui joue simplement de mémoire:
Il n’entre jamais ſur la Scene, que pour y debiter au plus viſte ce qu’il a appris par cœur, & dont il eſt tellement occupé, que ſans prendre garde aux mouvemens & aux geſtes de ſon Camarade, il va toujours ſon chemin, dans une furieuſe impatience de ſe délivrer de ſon rolle, comme d’un fardeau qui le fatigue beaucoup.	Il n'entre jamais sur la Scène, que pour y débiter au plus vite ce qu'il a appris par cœur, et dont il est tellement occupé, que sans prendre garde aux mouvements et aux gestes de son Camarade, il va toujours son chemin, dans une furieuse impatience de se délivrer de son rolle, comme d'un fardeau qui le fatigue beaucoup.
On peut dire que ces ſortes de Comediens ſont comme des Ecoliers, qui viennent repeter en tremblant une leçon qu’ils ont appriſe avec ſoin:	On peut dire que ces sortes de Comédiens sont comme des Écoliers, qui viennent répéter en tremblant une leçon qu'ils ont apprise avec soin:
ou plutoſt ils ſont ſemblables aux Echos qui ne parleroient jamais, ſi d’autres n’avoient parlé avant eux.	ou plutôt ils sont semblables aux Échos qui ne parleraient jamais, si d'autres n'avaient parlé avant eux.
Ce ſont des Comediens de nom, mais inutils & à charge à la Compagnie.	Ce sont des Comédients de nom, mais inutils et à charge à la Compagnie.
Je compare un Comedien de cette ſorte à un bras paralytique, qui quoy que inutile, porte toujours le nom de bras.	Je compare un Comédien de cette sorte à un bras paralytique, qui quoi que inutile, porte toujours le nom de bras.
La ſeule difference que je trouve entre le bras mort & Ie membre inutile de la Comedie, c’eſt que ſi le premier ne ſert de rien au corps, il eſt certain auſſi qu’il n’en reçoit aucune nourriture, & qu’elle ſe partage entre les membres qui font leur devoir.	La seule différence que je trouve entre le bras mort et Je membre inutile de la Comédie, c'est que si le premier ne sert de rien au corps, il est certain aussi qu'il n'en reçoit aucune nourriture, et qu'elle se partage entre les membres qui font leur devoir.
Mais le dernier, quoy que du tout inutile à la Comedie, ne laiſſe pas de recevoir autant de nourriture que ceux qui fatiguent le plus, & qui ſont les plus neceſſaires.	Mais le dernier, quoi que du tout inutile à la Comédie, ne laisse pas de recevoir autant de nourriture que ceux qui fatiguent le plus, et qui sont les plus nécessaires.
Mais je m’écarte furieuſement de mon ſujet.	Mais je m'écarte furieusement de mon sujet.
Il ne s’agit pas icy des qualitez que doit avoir un bon Comedien:	Il ne s'agit pas ici des qualités que doit avoir un bon Comédien:
Il s’agit de parler des Scenes Françoiſes qui ont eſté jouées ſur le Theatre Italien.	Il s'agit de parler des Scènes Françaises qui ont été jouées sur le Théâtre Italien.
Ces Scenes ſont l’Ouvrage de pluſieurs perſonnes d’eſprit & de merite, qui nous les ont données pour les mettre dans des Sujets Italiens, où elles ſont comme enchaſſées.	Ces Scène sont l'Ouvrage de plusieurs personnes d'esprit et de mérite, qui nous les ont données pour les mettre dans des Sujets Italiens, où elles sont comme enchassées.
Tout Paris les a admirées quand elles ont paru pour la premiere fois, & tout Paris les admire encore quand nous les rejouons.	Tout Paris les a admirées quand elles ont paru pour la première fois, et tout Paris les admire encore quand nous les rejouons.
On y découvre par tout une Satyre fine & delicate, une connoiſſance parfaite des mœurs du Siecle, des expreſſions neuves & détournées de l’enjouëment & de l’eſprit;	On y découvre par tout une Satire fine et délicate, une connaissance parfaite des mœurs du Siècle, des expressions neuves et détournées de l'enjouement et de l'esprit;
en un mot beaucoup de ſel & de vivacité.	en un mot beaucoup de sel et de vivacité.
Il y a long-temps qu’on demande dans le monde ces Dialogues avec empreſſement;	Il y a longtemps qu'on demande dans le monde ces Dialogues avec empressement;
& comme aucun de mes Camarades n’a encore voulu ſe donner la peine d’en faire le Recueil, je me ſuis chargé de ce ſoin, avec d’autant plus de plaiſir, que ſi ce Livre eſt auſſi bien reçu que je l’eſpere, je n’auray pas lieu de me repentir des peines que j’auray priſes.	et comme aucun de mes Camarades n'a encore voulu se donner la peine d'en faire le Recueil, je me suis chargé de ce soin, avec d'autant plus de plaisir, que si ce Livre est aussi bien revç que je l'espère, je n'aurai pas lieu de me repentir des peines que j'aurai prises.
SCENES	SCÈNES
BEBNEE FRANCOISES D'ARLE „ IIN EMPEREUR DANS LA LUNE.	BEBNE FRANCOISES D'ARLE „ YIN EMPEREUR DANS LA LUNE.
20 2 EVL DE LA FILLE DE CHAMBRE.	20 2 EUL DE LA FILLE DE CHAMBRE.
ARLEQUIN en Fille de Chambre.	ARLEQUIN en Fille de Chambre.
PIERROT en Femme du Docteur.	PIERROT en Femme du Docteur.
PIERROT.	PIERROT.
D’où ſortez-vous, ma mie ?	D'où sortez-vous, ma mie ?
ARLEQUIN.	ARLEQUIN.
