CAPR	CAPR
A MADAME DE RIS.	À MADAME DE RIS.
MADAME, Vout auez des lumieres ſi iuſtes pour le diſcernement des belles choſes, que ie dois avoir bien de la confuſion, lors que i'oſe Vous preſenter vn ouvrage d’außi peu de valeur que l'eſt cette petite Comedie:	MADAME, Vout avez des lumières si justes pour le discernement des belles choses, que venir dois avoir bien de la confusion, lors que j'ose Vous présenter un ouvrage d'avez peu de valeur que l'est cette petite Comédie:
Mais MADAME, ſon peu de merite auoit trop de beſoin du voſtre pourme pou voir raiſonnablement diſpenſer de luy procurer vn ſi haut appuy, & n'eſtimant pas par ma propre connoiſſance, qu’elle ſe pût ſouſtenir d’elle meſme ie me ſuis perſuadé que pour luy donner du credit, & la deguiſer aux yeux de mes ſenſeurs, ie deuois la voiller d’vn nom außi glorieux que le voſtre.	Mais MADAME, son peu de mérite avait trop de besoin du Roi pourme pou voir raisonnablement dispenser de même procurer un si haut appui, et n'estimant pas par ma propre connaissance, qu'elle se pût soutenir d'elle même été me suis persuadé que pour lui donner du crédit, et la déguiser aux yeux de mes senseurs, ie deuois la voiller d'un nom aussi glorieux que le vôtre.
Ouy MADAME, voſtre illuſtre Nom luy tiendra lieu d’vn criſtal dont la pureté rendant les objets tels qu’il les reçoit, ne laiſſe pas de les adoucir:	Oui MADAME, votre illustre Nom lui tiendra lieu d'un cristal dont la pureté rendant les objets tels qu'il les reçoit, ne laisse pas de les adoucir:
Cette meſme pureté que chacun conſidere en Vous, comme l'Aſtre qui conduit toutes vos actions, luy ſeruira de deffence contre les atteintes de la Mediſance, & les Rayons de voſtre Beauté reflechiſſans ſur ſes deftauts, on luy trouvcra des agréments que de moindres charmes n’auroient pû luy deſuoiller.	Cette même pureté que chacun considère en Vous, comme l'Astre qui conduit toutes vos actions, Seigneur servira dé sensé contre les atteintes de la Médisance, et les Rayons de votre Beauté réflechissants sur ses défauts, on lui trouvcra des agréments que de moindres charmes n'auraient pu lui desuoiller.
Ie ſuis ſi conuaincu de cette verité MADAME, que ie me figure deſia la voir dans la Boutique de ſon Imprimeur diſputer des belles places, auec les plus puiſſans volumes, toute glorieuſe de porter vos couleurs, & d’auoir attiré à ſon Autheur la qualité de	Je suis si convaincu de cette vérité MADAME, que je me figure déjà la voir dans la Boutique de son Imprimeur disputer des belles places, avec les plus puissants volumes, toute glorieuse de porter vos couleurs, et d'avoir attiré à son Auteur la qualité de
MADAME,	MADAME,
ACTEVRS.	ACTEURS.
LELIE, Amoureux de Luereſſe.	LELIE, Amoureux de Lueresse.
RISPIN, Kalet de Lelie.	RISPIN, Alet de Lélie.
LVCRESSE, Maiſtreſſe de Lelie, Pupille de Geronte.	LVCRESSE, Maîtresse de Lélie, Pupille de Géronte.
BEATRIS, Seruante de Lucreße.	BEATRIZ, Servante de Lucresse.
ARISTE, Docteur amoureux de Lucreſſe.	ARISTE, Docteur amoureux de Lucresse.
L’ALLEMAND, Valet de Geronte.	L'ALLEMAND, Valet de Géronte.
TIRBAVTES, Valet en habit Affriquain.	TIRBAUTES, Valet en habit Affriquain.
Suitte d’Affriquains.	Suite d'Afriquains.
La Scene eſt à Paris.	La Scène est à Paris.
L’AMBASSADEVR SATINTE VE.	L'AMBASSADEUR SATINTE VE.
SCENE I.	SCÈNE I.
BEATRIS, LELIE, CRISPIN BEATRIS.	BEATRIZ, LELIE, CRISPIN BEATRIZ.
A foy vos affaires vont mal M Monſieur vous avez vn Riual.	À foi vos affaires vont mal M Monsieur vous avez un Rival.
A qui Geronte en voſtte abſence A donné beaucoup d'eſperance Ie crains pour vous parler ſans fard Que vous ſovez reuenu tard Et qu’il n’aiſt desia fait promeſſe De marier voſtre Maiſtreſſe A ce fortuné mal-autrû.	À qui Géronte en vostte absence A donné beaucoup d'espérance Je crains pour vous parler sans fard Que vous souvez revenu tard Et qu'il n'ait déjà fait promesse De marier votre Maîtresse À ce fortuné mal -autrû.
LELIE.	LELIE.
Pla.	Pla.
Deatns, que ine dis-ta?	Deatns, que ine dis-ta?
BEATRIS.	BEATRIZ.
Ie dis qu’il n’eſt pas temps de rire Et qu’il faut ſonger à deſtruire Vn ſi prompt, & ſi grand revers Les chemins vous en ſont ouverts Par l’advis que ie vous en donne, Paſttes qu’aucun ne me ioupconne De vous auoir rien deſcouvert.	Je dis qu'il n'est pas temps de rire Et qu'il faut songer à détruire Un si prompt, et si grand revers Les chemins vous en sont ouverts Par l'avis que sans vous en donne, Pasttes qu'aucun ne me jouponne De vous avoir rien découvert.
LELIE.	LELIE.
Beatris, tu me prends ſans vert, Quoy ſe pourroit il que Lucreſſe Euſt manqué pour moy de tendreſſe.	Béatris, tu me prends sans vert, Quoi se pourrait -il que Lucresse Eut manqué pour moi de tendresse.
BEATRIS.	BEATRIZ.
Non ne vous en allarmez point Elle vous ayme au dernier point:	Non ne vous en alarmez point Elle vous aime au dernier point:
Mais ſon tuteur tout au contraire Vous haiſſant, la deſeſpere Il l’aduertit hier au ſoir Qu’il la vouloit demain pourvoir.	Mais son tuteur tout au contraire Vous haïssant, la désespère Il l'avertit hier au soir Qu'il la voulait demain pourvoir.
Et que pour ne la point ſurprendre.	Et que pour ne la point surprendre.
Elle ne deuoit point s’attendre A vous, iugez de ſon ennuy Si ce rival vient auiourd’huy C’eſt vne aſſaire qui vaut faitte Songez donc à quelque deffaitte Qui vous puiſſe mettre tous deux Vn iour au comble de vos vœux.	Elle ne devait point s'attendre À vous, jugez de son ennui Si ce rival vient aujourd'hui C'est une assaire qui vaut faites Songez donc à quelque défaite Qui vous puisse mettre tous deux Un jour au comble de vos vœux.
Noſtre vieux reſte de voirie, Eſt allé voir ſa meſtairye Il à meſme opportunément Avec luy mené l’Allemant De ſorte que par mon adreſſe vous pourrez parier a Luereſſe Si vous le voulez.	Notre vieux reste de voirie, Est allé voir sa métairie Il à même opportunément Avec lui mené l'Allemant De sorte que par mon adresse vous pourrez parier à Luveresse Si vous le voulez.
LELIE.	LELIE.
Mais dis-moy De ce riual quel eſt l’employ?	Mais dis-moi De ce rival quel est l'emploi?
BEATRIS.	BEATRIZ.
C’eſt ie penſe vn viel pedagogue Iſſu de quelque Sinagogue Le premier iour qu’il vint chez nous Faire à Lucreſſe les yeux doux Il avoit la teſte pelée Mais comme dans vne aſſemblée Le meſme iour on le railla Sur ſon amour, & ſur cela Il a povr ſuiure le grand monde Pris depuis la perruque blonde Mais d’vn blond de telle couleur Que malgré voſtre triſte humeur Quand vous verrez ce viel ſatyre Vous ne vous tiendrez pas de rire Enfin c’eſt vn original De maſque en temps de carnaual Et vous n’auez point veu paroiſtre.	C'est assez pense un viel pédagogue Issu de quelque Synagogue Le premier jour qu'il vint chez nous Faire à Lucresse les yeux doux Il avait la tête pelée Mais comme dans une assemblée Le même jour on le railla Sur son amour, et sur cela Il a pour suivre le grand monde Pris depuis la perruque blonde Mais d'un blond de telle couleur Que malgré votre triste humeur Quand vous verrez ce viel satire Vous ne vous tiendrez pas de rire Enfin c'est un original De masque en temps de carnal Et vous n'avez point vu paroistre;
LELIE.	LELIE.
Et ſon nom le ſçais-tu?	Et son nom le sais-tu?
BEATRIS.	BEATRIZ.
Peut eſtre Atrendez.	Peut être Atrendez.
Ma foy ie le tiens C’eſt Ariſte ie m’en ſouviens	Ma fo ie le tiens C'est Ariste ie m'en souviens
Ariſte?	Ariste?
LELIE.	LELIE.
BEATRIS.	BEATRIZ.
Ouy.	Oui.
LELIE.	LELIE.
Ce ridicule Qui ne connoiſt que ſaferrule Songeroit à ce marier?	Ce ridicule Qui ne connaît que saferrule Songerait à ce marier?
BEATRIS.	BEATRIZ.
Ouy, n’eſt-ce pas vn bel ouvrier Pour vne pareille beſogne.	Oui, n'est-ce pas un bel ouvrier Pour notre pareille besogne.
Ie voudrois bien qu’vn tel Iean-logne s’addreſſaſt à moy pour cela.	Je voudrais bien qu' tel Jean-logne s'adressât à moi pour cela.
CRISPIN.	CRISPIN.
Tu chanterois Alleluya Me qua Mannico.	Tu chanterais Alleluya Me qua Mannico.
BEATRIS.	BEATRIZ.
Ie vous iure Que ie l’enuoyrois turelure Et luy caſſerois le muſeau.	Je vous jure Que rien l'enuoyrois turelure Et tu casserais le museau.
