PREFACE.	PRÉFACE.
Ly a long-temps qu’on auroit vut paroître ſur la Scene ce ſujet, qui  eſt un des plus grands & des plus na-i beaux de l’antiquité, ſt nos meilleurs Autheurs avoient crit pouvoir en ſurmonter les difficulteZ:	Ly a longtemps qu'on aurait vut paraître sur la Scène ce sujet, qui est un des plus grands et des plus na-y beaux de l'antiquité, st nos meilleurs Auteurs avaient crit pouvoir en surmonter les difficultés:
mais quand on eſt jeune on eſt toujours temeraire.	mais quand on est jeune on est toujours téméraire.
& l’on eſt quel quefois heureux.	et l'on est quel quefois heureux.
D’ailleurs comme l’on ſçait aſſeZ que la qualité d’Autheur n’eſt pai celle qui m’honnore le plus, j’ay voulu traiter un ſijet dont la reuſſite me déterminaſt à trauailler pour le Theatre, ou à employer mes momens de loiſir à quelque occupation qui me fuſt plits convenable.	D'ailleurs comme l'on sait assez que la qualité d'Auteur n'est pai celle qui m'honore le plus, j'ai voulu traiter un sijet dont la réussite me déterminât à travailler pour le Théâtre, ou à employer mes moments de loisir à quelque occupation qui me fût plits convenable.
Madame la Princeſſe de Conty, cheZ qui j’ay ou l’honneur d’eſtre élevé, me choiſit elle-même ce ſujet préferablement à beaucoup d’autres.	Madame la Princesse de Conty, chez qui j'ai ou l'honneur d'être élevé, me choisit elle-même ce sujet préférablement à beaucoup d'autres.
Ty ay donné tous mes ſoins;	Ty ai donné tous mes soins;
& ce qui me confirme encore dans la bonne opinion que j’en ay, c’eſt qu’on le voit encore paroiſtre tous les jours ſir la Scene avec autant de plaiſir & d’applaudiſſemens que dant les premieres repreſentations, je puir dire que cet Ouvrage a eſté ſi gercralement approirvé de tout et monde, que je ne répondray pas ſeulemenr à la mauvaiſe critique de ceux qui out condané Thoas & Thomiris:	et ce qui me confirme encore dans la bonne opinion que j'en ai, c'est qu'on le voit encore paraître tous les jours sir la Scène avec autant de plaisir et d'applaudissements que dant les premières représentations, je puir dire que cet Ouvrage a été si gercralement approuvé de tout et monde, que je ne répondrai pas seulemenr à la mauvaise critique de ceux qui out condamé Tho et Mir:
Cun eſt dans Euripide, ſaus lequel il n’y auroit point de P'iece, & je me ſuis aſſeZ bien trouvé de l'autre pour ne m’en pas repentir.	Cun est dans Euripide, saus lequel il n'y aurait point de P'ièce, et je me suis assez bien trouvé de l'autre pour ne m'en pas repentir.
La perte que fit le Theatre, en perdant Mademoiſelle de Champmeſle, m’avoit empeſché de faire imprimer cette Picce;	La perte que fit le Théâtre, en perdant Mademoiselle de Champmesle, m'avait empêché de faire imprimer cette Picce;
mais depuis qu’une jeune Aclrice, qui a parut ces jourt paſſeZ, nous en a rafraîchy la memoire, je me ſuis laiſſe vaincre par les preſſantes ſollicitations de mes amis, qui, avec mes autres Ouvraget, m’ont perſuadé de donner encore celuycy ait public, mne ſlattant que la lecture ne liy en fera pas moins de plaiſir que la repreſentation.	mais depuis qu'une jeune Aclice, qui a parut ces jourt passez, nous en a rafraîchi la mémoire, je me suis laisse vaincre par les pressantes sollicitations de mes amis, qui, avec mes autres Ouvraget, m'ont persuadé de donner encore celuici ait public, mê nant que la lecture ne li en fera pas moins de plaisir que la représentation.
