ACTEURS DU PROLOGUE.	ACTEURS DU PROLOGUE.
DAMON, Fils.	DAMON, Fils.
C· CRISPIN, Valet de Damon.	 CRISPIN, Valet de Damon.
LE DECORATEUR.	LE DÉCORATEUR.
LAYS.	LAIS.
AMINTE	AMINTE
LUCRECE.	LUCRECE.
JSTINE	JSTINE
T.	T.
D	D
DAMON, CRISPIN, DAMON.	DAMON, CRISPIN, DAMON.
E bien, Criſpin, nos Meſſieurs & nõs Demoiſelles ſont-ils bien-toſt en état de faire la repetition de ma Pie	E bien, Crispin, nos Messieurs et noms Demoiselles sont-ils bientôt en état de faire la répétition de ma Pie
2 ?	2 ?
CRISPIN TTout le monde ſera préſt dans un moment comme l'on s’atend de la joüer demain lns remiſe, on n’a plus de temps à negliger.	CRISPIN TTout le monde sera prompt dans un moment comme l'on s'attend de la jouer ain lns remise, on n'a plus de temps à négliger.
le n’eſt pas qu’ls naient quelque petit charin de l’exactitude que vous avés voulu exier d’eux & comme l’on n’a pas accoutumé e faire des Répetitions avec les Habits, les écorations, & les Violons, ils ne prennẽt i’en murmurant le ſoin qu’il faut qu’ils ſe onnent pour s’habiller;	le n'est pas qu'ls noient quelque petit charin de l'exactitude que vous avez voulu exier d'eux et comme l'on n'a pas accoutumé eût faire des Répétitions avec les Habits, les écorations, et les Violons, ils ne prennent j'en murant le soin qu'il faut qu'ils se onnent pour s'habiller;
& principalement bs Demoiſelles qui ne ſont pas bien aiſes de donner plus de peine que le beſoin ne le mande.	et principalement bs Demoiselles qui ne sont pas bien aises de donner plus de peine que le besoin ne le mande.
Il n’y en a pas une qui ne vous ait t en s’abillant, toutés les poüilles que la odeſtie peut ſouffrir dans la bouche d’une imme, & qui n’ait dit plus de cent foïs Bre que cet Autheur eſt fols;	Il n'y en a pas une qui ne vous ait t en 'abillant, toutz les pouillés que la odestie peut souffrir dans la bouche d'une imme, et qui n'ait dit plus de cent foïs Bre que cet Auteur est fous;
Mais vous n’eſtes pas Homme à prendre garde à cela.	Mais vous n'êtes pas Homme à prendre garde à cela.
CRISPIN Et ſur tout, ne parlés point de ces Meſſieurs les Medecins, car cela porte mal’heur.	CRISPIN Et sur tout, ne parlès point de ces Messieurs les Médecins, car cela porte malheur.
DAMON.	DAMON.
Ah, je n’ay garde de choquer cette docte compagnie puis qu’ils m’ont promis d’ordon ner un Remede à contre temps a un de mes parens qui le ſera quitter la jouiſſance de ſon bien, dont je ſuis l'unque nencier.	Ah, je n'ai garde de choquer cette docte compagnie puis qu'ils m'ont promis d'ordon ner un Remede à contre temps à un de mes parents qui le sera quitter la jouissance de son bien, dont je suis l'unque nencier.
CRISPIN.	CRISPIN.
C’eſt donc ſans doute, de Meſſieurs les Procureurs dont vous voulés découvrir les artifices pour attraper l’argent de leurs Cleants.	C'est donc sans doute, de Messieurs les Procureurs dont vous voulez découvrir les artifices pour attraper l'argent de leurs Cléants.
DAMON.	DAMON.
Non, bien loin de cela, ils me font pitié.	Non, bien loin de cela, ils me font pitié.
car la plus-parts des Meſſieurs de ce corps ſont à preſent ſans pratique, depuis que la Troupe de l’Hotel de Bourgougne les a repreſentés ſous le nom de Grapinian & qu’il a découvert au Public la maniere dont ils uſent pour s’enrichir ;	car la pluparts des Messieurs de ce corps sont à présent sans pratique, depuis que la Troupe de l'Hotel de Bourgougne les a représentés sous le nom de Grapinian et qu'il a découvert au Public la manière dont ils usent pour s'enrichir ;
aux dépens des pauvres Pledeurs.	aux dépens des pauvres Pledeurs.
CRISPIN Pour moy qui n’ay rien encor entendu de cette Piece, je m’aprête a voir des merveilles dans cette Repetition.	CRISPIN Pour moi qui n'ai rien encor entendu de cette Pièce, je m'apprête à voir des merveilles dans cette Répétition.
C’eſt ſans doute quel que Suj et de nouvel invention.	C'est sans doute quel que Suj et de nouvel invention.
DAMON Fy, ne me parlés point de ces Sujets d’invention, j'appelle ces Monſtres modernes avortons d’une imagination bornẽe, & j’abãdonne ces projets infructeux & ces fades reſveries à ces Genies rampans, que l’Ingnorãce rend incapables des larcins glorieux que font les Doctes chez les Grecs & chez les Latins, & qui ne ſçavent pas mettre les Plaiſãteries de l’Antiquité en œuvre.	DAMON Fy, ne me parlés point de ces Sujets d'invention, j'appelle ces Monstres modernes avortons d'une imagination bornée, et j'abandonne ces projets infructeux et ces fades rêveries à ces Génies rampants, que l'Ingnorance rend incapables des larcins glorieux que font les Doctes chez les Grecs et chez les Latins, et qui ne sauvent pas mettre les Plaisãteries de l'Antiquité en œuvre.
J’ay tiré l'idée de cette Piece de Moſte llaria de Plaute, que luy-même, à ce que l’on tient, avoir tirée du Phaſma de Menandre.	J'ai tiré l'idée de cette Pièce de Môte laria de Plaute, que lui-même, à ce que l'on tient, avoir tirée du Phâma de Ménandre.
CRISPIN à part Voila bien des mots où je ne comprẽs rien;	CRISPIN à part Voilà bien des mots où je ne comprends rien;
mais pour mon honneur je n’en veux riem faire paroître.	mais pour mon honneur je n'en veux riem faire paraître.
Le Sujet eſt ſans doute plaiſant?	Le Sujet est sans doute plaisant?
& vous n’aurez pas manqué de l’aſſaiſonner de ces traits fréquens de Satyre délicate qui font l’agrémẽt des Pieces du temps?	et vous n'aurez pas manqué de l'assaisonner de ces traits fréquents de Satire délicate qui font l'agrémẽt des Pièces du temps?
DAMON.	DAMON.
Pour le Sujet, il eſt plaiſant;	Pour le Sujet, il est plaisant;
