A PARIS.	À PARIS.
cI9 I9 C XLVIII.	cI9 I9 Ç XLVII.
A LA REINE EGENTE.	À LA REINE ÉGENTE.
ADAME, Quelque connoiſſance que j'ay de ma foibleſſe, & quelque profond reſpect qu’imprime voſtre Majeſté dans les ames de ceux qui l’approchent, j'auouë que je me jette à ſes piés ſans timidité & ſans deffiance, & que je me tiens aſſeuré de luy plaire, parce que je ſuis aſſeuré de luy parler de ce qu’elle ayme le mieux.	ADAME, Quelque connaissance que j'ai de ma faiblesse, et quelque profond respect qu'imprime votre Majesté dans les âmes de ceux qui l'approchent, j'avoue que je me jette à ses piez sans timidité et sans défiance, et que je me tiens assuré de lui plaire, parce que je suis assuré de lui tant de ce qu'elle aime le mieux.
Ce n'eſt qu'vne piece de Theatre que je luy preA 2 ſen te ſente, mais qui l’entretiendra de Dieu:	Ce n'est qu'une pièce de Théâtre que je teint préA 2 sen te sente, mais qui l'entretiendra de Dieu:
la dignité de la matiere eſt ſi haute que l’impuiſſance de l’artiſan ne la peut raualer, & voſtre ame Royale ſe plaiſt trop à cette ſorte d’entretien, pour s’offenſer des defauts d'vn ouvrage où elle rencontrera les delices de ſon cœur.	la dignité de la matière est si haute que l'impuissance de l'artisan ne la peut ravaler, et votre âme Royale se plaît trop à cette sorte d'entretien, pour s'offenser des défauts d'un ouvrage où elle rencontrera les délices de son cœur.
C’eſt par là Madame, que j’eſpere obtenir de Voſtre Majeſté, le pardon du long temps que j'ay attendu à luy rendre cette ſorte d'hommages:	C'est par là Madame, que j'espère obtenir de Votre Majesté, le pardon du long temps que j'ai attendu à lui rendre cette sorte d'hommages:
Toutés les fois que j’ay mis ſur noſtre Scene des Vertus Morales ou Politiques, jen ay toujours creu les tableaux trop peu dignes de paroiſtre devant elle, quand fay conſideré qu'auec quelque ſoin que je les peuſſe choiſir dans l'Hiſtoire, & quelques ornemens mens dont l’artifice les peuſt enrichir, elle en voyoit de plus grands exemples dans elle meſme.	Toutez les fois que j'ai mis sur notre Scène des Vertus Morales ou Politiques, jen ai toujours cru les tableaux trop peu dignes de paraître devant elle, quand fais considéré qu'avec quelque soin que je les pusse choisir dans l'Histoire, et quelques ornements mens dont l'artifice les pût enrichir, elle en voyait de plus grands exemples dans elle -même.
Pour rendre les choſes proportionnées, il falloit aller à la plus haute ſpece, & n’entreprendre pas de rien offrir de cette nature à vne Reyne TresChreſtienne, & qui l’eſt beaucoup plus encor par ſes actions que par ſon titre, à moins que de luy offrir vn portrait des vertus Chreſtiennes, dont l'amour & la gloire de Dieu formaſſent les plus beaux traits, & qui rendiſt les plaiſirs qu’elle y pourra prendre auſſi propres à exercer ſa piété qu’a delaſſer ſon eſprit.	Pour rendre les choses proportionnées, il fallait aller à la plus haute spèce, et n'entreprendre pas de rien offrir de cette nature à une Reine TresChrestienne, et qui l'est beaucoup plus encor par ses actions que par son titre, à moins que de grands offrir un portrait des vertus Chrétiennes, dont l'amour et la gloire de Dieu formassent les plus beaux traits, et qui rendît les plaisirs qu'elle y pourra prendre aussi propres à exercer sa piété qu'a délasser son esprit.
C’eſt à cette extraordinaire & admirable pieté, Madame, que la France eſt redeuable des benedictions qu’elle voit tomber ſur les premieres armes de ſon Roy, les heureux ſuccés qu’elles ont obtenus en ſont les retributions éclatantes, & des coups du Ciel qui répand abondamment ſur tout le Royaume les récompenſes & les graces que voſtre Majeſté a meritées.	C'est à cette extraordinaire et admirable piété, Madame, que la France est redevable des bénédictions qu'elle voit tomber sur les premières armes de son Roi, les heureux succès qu'elles ont obtenus en sont les rétributions éclatantes, et des coups du Ciel qui répand abondamment sur tout le Royaume les récompenses et les grâces que votre Majesté a méritées.
Noſtre perte ſembloit infaillible apres celle de noſtre grand Monarque Toute l’Europe a voit deſia pitié de nous, &r s’imaginoit que nous nous allions precipiter dans vn extrême deſordre, parce qu’elle nous voyoit dans une extréme deſolation.	Notre perte semblait infaillible après celle de notre grand Monarque Toute l'Europe a voit déjà pitié de nous, etr s'imaginait que nous nous allions précipiter dans extrême désordre, parce qu'elle nous voyait dans une extrême désolation.
