A MONSEIGNEVR LE MARESCHAL D’ALBRET.	À MONSEIGNEUR LE MARÉCHAL D'ALBRET.
GOVVERNEVR DE GVYENNE.	GOUVERNEUR DE GVYENNE.
de quelle main elle voudra le recevoir;	de quelle main elle voudra le recevoir;
toutefois j’ay aſſez de u courage pour l’expoſer à l’accüeil de l’un & de l’autre;	toutefois j'ai assez de u courage pour l'exposer à l'accueil de l'un et de l'autre;
& la jeuneſſe de ma plume jointe à la forte paſsion que j'ay de me rendre digne de l’honneur d’être connu de V.	et la jeunesse de ma plume jointe à la forte passion que j'ai de me rendre digne de l'honneur d'être connu de V.
G.	G.
ſemble me promet- tre un aſſeuré refuge auprés d’elle.	semble me promet- tre un assuré refuge auprès d'elle.
Ce n’eſt pas, MONSEIGNEVR, que la reflexion que je fais au juſte prix que V.	Ce n'est pas, MONSEIGNEUR, que la réflexion que je fais au juste prix que V.
G.	G.
çait ſi bien donner aux choſes, ne me jette dans quelque legitime apprehenſion, & ne me faſſe dire ( en moy-même) que ce n’eſt pas à un jeune Provincial de chercher l’établiſſement de ſa reputation chez un des plus illuſtres & des plus capables hommés de la terre, mais auſsi quand je conſidere la generoſité naturelle & immitable de V.	ait si bien donner aux choses, ne me jette dans quelque légitime appréhension, et ne me fasse dire ( en moi-même) que ce n'est pas à un jeune Provincial de chercher l'établissement de sa réputation chez un des plus illustres et des plus capables hommès de la terre, mais aussi quand je considère la générosité naturelle et immitable de V.
G.	G.
toute ma crainte ſe convertit en eſperance, & je me figure autant dro de bon-heur dans mon ſuccez qu’il y a de temerité dans mon entrepriſe.	toute ma crainte se convertit en espérance, et je me figure autant dro de bonheur dans mon succès qu'il y a de témérité dans mon entreprise.
Quoy qu’il ſemble que vôtre Nom ne ſoit propre qu’à paroître à la tête d’une Armée, il ne doit pourtant pas ſe refuſer à celle d’une Tragicomedie, puis qu’il y va tenir le premier rang de Heros, & qu'il va renure ues lninces & des Roys tous glorieux de venir à ſa ſuite.	Quoi qu'il semble que votre Nom ne soit propre qu'à paraître à la tête d'une Armée, il ne doit pourtant pas se refuser à celle d'une Tragicomédie, puis qu'il y va tenir le premier rang de Héros, et qu'il va renvres lues linces et des Rois tous glorieux de venir à sa suite.
Oüy, MONSEIGNEVR, vous allez marcher de vant des Faramonds & des Balamirs;	Oui, MONSEIGNEUR, vous allez marcher de vant des Faramonds et des Balamirs;
devant des Viridomares, des Marcomires & des Sunnons, & je ne penſe pas qu'aucun de ces grands hommes envie vôtre rang.	devant des Viridomares, des Marcomires et des Sunnons, et je ne pense pas qu'aucun de ces grands hommes envie votre rang.
puis qu’en effet ils ne peuvent paroître en aſſeurance & avec éclat dans le monde que ſoûs l’honneur de vos auſpices.	puis qu'en effet ils ne peuvent paraître en assurance et avec éclat dans le monde que sous l'honneur de vos auspices.
L’Autheur du ſujet qui fait celuy de ma piece a eu l’honneur autrefois d’étre connu de Vous, puis que c’eſt de Monſieur de la Calprenede que je parle, & j'o.	L'Auteur du sujet qui fait celui de ma pièce a eu l'honneur autrefois d'être connu de Vous, puis que c'est de Monsieur de la Calprenède que je parle, et j'ô.
ſe même dire, MONSEIDAENR, que veoire Grandeur a eſté des premieres à luy aplaudir ſur ſes Faramonds.	se même dire, MONSEIDAENR, que voire Grandeur a été des premières à M adlaudir sur ses Faramonds.
L’avantage que la nature m'a donné d’étre ſon Neveu, m’a pouſſé d’un deſir courageux de travailler ſur ſes Ouvrages, non pas pour les faire revivre, car ils ne ſont pas morts, & ne mourront jamais, mais plûtôt pour les mieux imprimer dans la memoire des hommes.	L'avantage que la nature m'a donné d'être son Neveu, m'a poussé d'un des courageux de travailler sur ses Ouvrages, non pas pour les faire revivre, car ils ne sont pas morts, et ne mourront jamais, mais plutôt pour les mieux imprimer dans la mémoire des hommes.
