PAR –- 1-mœMonſieur de SCVDERY.	PAR 5- 1mœMonsieur de SCUDERY.
A PARIS, * Chez AVGVSTIN COVRBE' au Palais, dans la petite Salle, à la Palme.	À PARIS, * Chez AUGUSTIN COURBE' au Palais, dans la petite Salle, à la Palme.
M.	M.
DC.	DC.
XXXV.	XXXV.
AVEC PRIVILEGE DV ROY.	AVEC PRIVILÈGE DU ROY.
A MONSIEVR MONSIEVR LE MARQVIS DE COALIN, COLONEL GENERAL DES SVISSES.	À MONSIEUR MONSIEUR LE MARQUIS DE CONLIN, COLONEL GÉNÉRAL DES SVISES.
ONSIEVR, de ma hardieſſe.	ONSIEUR, de ma hardiesse.
Mais apres les courtoiſies dont ie vous ſuis deſta redeuable, i’eſpere que vous ne regarderez mon deſſein pluſtoſt que mon preſent, que vous ouurirez mon cœur auecques mon liure, que vous lirez dans l’vn & dans l’autre que ie ſuis,	Mais après les courtoisies dont vous vous que je redevable, j'espère que vous ne regarderez mon dessein plutôt que mon présent, que vous ouvrirez mon cœur avec mon livre, que vous lirez dans l'amour et dans l'autre que je suis,
MONSIEVR,	MONSIEUR,
Voſtre tres-humble & tresfidelle ſeruiteur, DE SCVDERY.	Votre très-humble et tresfidelle serviteur, DE SCUDERY.
Iv.	Ju.
EECTEVR Re EST vne maxime receue entre les perſonnes qui ſe connoiſſent  aux bonnes choſes, que l’eſprit de celuy qui fait des vers, & qui les fait bien, doit eſtre comme le Prothee des Poëtes, ou cõme la matiere premiere, capable de toutes formes:	EECTEUR Re EST une maxime reçue entre les personnes qui se connaissent aux bonnes choses, que l'esprit de celui qui fait des vers, et qui les fait bien, doit être comme le Prothe des Poètes, ou commme la matière première, capable de toutes formes:
il faut qu’il ſçache faire parler des Rois & des Bergers, & les vns & les autres en des termes, qui conuiennent à leurs conditions.	il faut qu'il sache faire parler des Rois et des Bergers, et les uns et les autres en des termes, qui conviennent à leurs conditions.
Ainſi le Dieu de la Poëſie Latine, que toute la terre adore encorſous le nom d Virgile, n’a pas manqué de ſuiure vne regle ſi neceſſaire aux hons ouurages.	Ainsi le Dieu de la Poésie Latine, que toute la terre adore encorsous le nom d Irgile, n'a pas manqué de suivre une règle si nécessaire aux hons ouvrages.
Et qui prendra le inin9 de comparer le ſtile pompeux & magnifique de l’Eneide, auec la douceur naïfue des Bucoliques, iugera ſans doubte que mon opinion eſt bien fondee.	Et qui prendra le inin9 de comparer le style pompeux et magnifique de l'Eneide, avec la douceur naïve des Bucoliques, jugera sans doute que mon opinion est bien fonde.
Ie ne taſche (Lecteur y de t’amener dans mon ſens, par ce raiſonnement, qu’àfin que ſi la ſuite des temps te met en main apres ma COMEDIE, LIGDAMON, LE TROMPEVR PVNY, LE VASSAL GENEREVX, ORANTE, LE FILS SVPPO SE, LE PRINCE DESGVISE LA MORT DE CÆSAR, O celle de DIDON que ie traitte tu ne t’eſtonnes point d’y voir vne diuerſité ſi grande, ſoit aux pẽſees, ſoit en la façon de les exprimer, quelques vns de ces Poëmes, m’ont obligé de toucher en paſſant, la morale & la politique;	Je ne tâche (Lecteur y de t'amener dans mon sens, par ce raisonnement, qu'àfin que si la suite des temps te met en main après ma COMÉDIE, LIGDAMON, LE -TROMPEUR PUNI, LE VASSAL GÉNÉREUX, ORANTE, LE FILS SUPO NE, LE PRINCE DÉGUISE LA MORT DE CAR, Ô celle de DIDON que ie traitte tu ne étonnes point y voir diuersité si grande, soit aux pẽsees, soit en la façon de les exprimer, quelques de ces Poëmes, ont obligé de toucher en passant, la morale et la politique;
d’autres m’ont fait parler de l’art militaire & par terre & par mer;	d'autres m'ont fait parler de l'art militaire et par terre et par mer;
Les voyages de mes Heros m’ont fait marquer la Carte de leur nauigation;	Les voyages de mes Héros m'ont fait marquer la Carte de leur navigation;
les aduentures des perſonnes illuſtres m’ont donné les grandes & lès fortes paſſions, que demande vne douleur eloquente;	les aventures des personnes illustres m'ont donné les grandes et lès fortes passions, que demande une douleur éloquente;
& de cette ſorte, i’ay taſché de n’eſtre point ignorant, dans les ſciences, & dans les Arts, qui ſe ſont trouuez comme enchainez auec les ſubiects que i’ay voulu prendre, que ſi tu ne rẽcontre pas vn de çes ornemens en cette Piece, tu te ſouuiendras s’il te plaiſt, qu’aux autres, ce ſont des Princes & des Roys qui parlent, & qu'en celle-cy, cé ſont des Comediens & des Bergers, mais Comediens & Bergers, qui ne ſont pas pourtant du commun, & qui t’entretiendront aſſez agreablement, des choſes qui regardent leur profeſſion & leurs amours.	et de cette sorte, j'ai tâché de n'être point ignorant, dans les sciences, et dans les Arts, qui se sont trouvez comme enchaînez avec les sujets que j'ai voulu prendre, que si tu ne rècontre pas un de çes ornements en cette Pièce, tu te souviendras s'il te plaît, qu'aux autres, ce sont des Princes et des Rois qui parlent, et qu'en celle-cy, c' en celle Comediens et des Bergers, mais Comédients et Bergers, qui ne sont pas pourtant du commun, et qui t'entretiendront assez agréablement, des choses qui regardent leur profession et leurs amours.
En vn mor I’oſe croire que cette Peinture a ſes graces, auſſi bien que la plus acheuee des miennes, l’inuention en eſt nouuelle, & ſi ie ne me trompe diuertiſſante, elle tiẽt quelque choſc de ce genre de Poëme, que les Italiens appellent capricçioſo ſi l’impreſſion la fait auſſi bien reuſſir que le Theatre, ie ne plaindray pas quinze iours, que firu couute la production.	En un mór I'ose croire que cette Peinture a ses grâces, aussi bien que la plus achève des miennes, l'invention en est nouvelle, et si beau ne me trompe divertissante, elle tiẽt quelque chosc de ce genre de Poème, que les Italiens appellent capricçioso si l'impression la fait aussi bien réussir que le Théâtre, je ne plaindrai pas quinze jours, que firu couute la production.
C’eſt ce que ie doibs aprẽdre de la voix publique, dont la tienne fait vne partie:	C'est ce que personne doibs apprendre de la voix publique, dont la tienne fait une partie:
mais de grace ſois iuſte &clement pour cet Ouurage;	mais de grâce sois juste etclement pour cet Ouvrage;
c’eſt a dire, eſtime ce qu’il a de bon, & pardonne moy des fautes que tu ne verras, que parce que ie ne les ay point veues,	c'est -à -dire, estime ce qu'il a de bon, et pardonne moi des fautes que tu ne verras, que parce que je ne les ai point vues,
AR grace & Priuilege du Roy, donné à  Paris, en datte du 20.	AR grâce et Privilège du Roi, donné à Paris, en datte du 20.
Auril 1635.	Avril 1635.
Il eſt permis à Auguſtin Courbé Marchant Libraire à Paris, d’imprimer vendre & diſtribuer La Comedie des Comediens poëme de nonuelle anuention, par Mr.	Il est permis à Augustin Courbé Marchant Libraire à Paris, d'imprimer vendre et distribuer La Comédie des Comédients poème de nonuelle anuention, par Mr.
Deſcudery, & deffences ſont faites à tous autres Imprimeurs & autres perſones de quelque qualité & condition qu’il ſoient, d’imprimer vendre ny diſtribuer dudit Liure d’autre Impreſſion que celle qu’il aura fait ou fait faire ledit Courbé ou autre ayant droit de luy, & ce pendant le teps de ſept ans à peine aux contreuenans de mille liures damande & de confiſcation de tous les exemplaire impritliez, aiſir qu'ir ert porté plus amplement par leſdites Lettres de Priuilege Par le Roy & ſon Conſeil.	Descuderi, et défenses sont faites à tous autres Imprimeurs et autres persones de quelque qualité et condition qu'il soient, d'imprimer vendre Au distribuer dudit Livre d'autre Impression que celle qu'il aura fait ou fait faire ledit Courbé ou autre ayant droit de mille, et ce pendant le teps de sept ans à peine aux contrevenants de mille livres damande et de confiscation de tous les exemplaire impritliez, aisir qu'ir par lesdites plus amplement par lesdites Lettres de Privilège Par le Roi et son Conseil.
Signé CONRART.	Signé CONRART.
Mi.	Mi.
T Raa E 2 O 3 ON, ie n’é feray rien;	 Ta E 2 Ô 3 ON, je n'é ferai rien;
tenez, reprenez vos habits:	tenez, reprenez vos habits:
ie ne veux point eſtre fol par compagnie:	Ne ne veux point être fol par compagnie:
& ne ſçaurois me reſoudré à tromper tant d’honneſtes gens, comme ie voy qu’il y en a icy.	et ne saurais me résoudré à tromper tant d'honnêtes gens, comme un vois qu'il y en a ici.
Ie ne ſçay (Meſſieurs) quelle extrauagance eſt auiourd’huy celle de mes Compagnons, mais elle eſt bien ſi grande, que ie ſuis forcé de croire, que quelque charme leur dérobe la raiſon, & le pire que i’y voy, c’eſt, qu’ils taſchent de me la faire perdre, & à vous autres auſſi.	Je ne sais (Messieurs) quelle extravagance est aujourd'hui celle de mes Compagnons, mais elle est bien si grande, que sans suis forcé de croire, que quelque charme leur dérobe la raison, et le pire que j'y vois, c'est, qu'ils tâchent de me la faire perdre, et à vous autres aussi.
Ils veulent me perſuader que ie ne ſuis point ſur vn Theatre;	Ils veulent me persuader que je ne suis point sur un Théâtre;
ils diſent que c’eſt icy la ville de Lion, que voila vne Hoſtellerie;	ils disent que c'est ici la ville de Lion, que voilà une Hostellerie;
