FLORIDON.	FLORIDON.
MELIDOR.	MELIDOR.
A RROYES, Chez Nicolas Oudot, demeurant en la rue noſtre Dame, au Chappon d’Or Couronné.	À RROYES, Chez Nicolas Oudot, demeurant en la rue notre Dame, au Chapon d'Or Couronné.
LE TIERCLLIE INVENTIE PASTORALE.	LE TIERCLLIE INVENTIE PASTORALE.
ACIET.	ÀCIET.
Sacrificateur.	Sacrificateur.
Nfans apres auoir de vos pointus LEſgorgé cent moutons, cent boucs, & cent tauluoir deſſus l’autel toute flamme deſteinte, (reaux, Etauſang reſpandu toute voſtre main teinte;	Néans après avoir de vos pointus LEsgorgé cent moutons, cent boucs, et cent tauluoir dessus l'autel toute flamme déteinte, (reaux, Étausang répandu toute votre main teinte;
Apres l’auoir lauée au criſtal de ces eaux, Allez tous caroler ſouz les feüilles ormeaux:	Après l'avoir lavée au cristal de ces eaux, Allez tous caroler souz les feuilles ormeaux:
llais auant que partir, enfans ie vous commande, D'apprendre auec honneur chacun voſtre guirlande.	lais avant que partir, enfants je vous commande, D'apprendre quelque honneur chacun votre guirlande.
our cet autel de Pan rechauſſé de gaſon, Tout parſemé de Fleurs, & ceint d’vne toiſon, Puis allez folaſtrer auec vos guirlandes I'ous aurez au Dieu Pan offertes pour offrandes.	our cet autel de Pan rechaussé de gazon, Tout parsemé de Fleurs, et ceint d'une toison, Puis allez folâtrer avec vos guirlandes J'oût aurez au Dieu Pan offertes pour offrandes.
Le Mercier.	Le Mercier.
Comme vn marchãt Mercier trafiquant ſur les mers l’ay veu de mon grenier maints pays eſtrangers, l'ay paſſé Canada, Vaugirard, Hetrurie, 2 Mont-marthe, Papagoſſe, & toute la Suerie;	Comme un marchant Mercier trafiquant sur les mers l'ai vu de mon grenier maints pays étrangers, l'ai passé Canada, Vaugirard, Hetrurie, 2 Mont-marthe, Papagosse, et toute la Suerie;
I’ay veu les plus grands monts heriſſez de foreſts, Plus hautes que le fond de nos plus creux retraits;	J'ai vu les plus grands monts hérissez de forêts, Plus hautes que le fond de nos plus creux retraits;
On ſe traicte bien là franchement on y baille Pour vn œuf tout entier vne botte de paille, Eſt-ce pas bon marché?	On se traite bien là franchement on y baille Pour un œuf tout entier une botte de paille, Est-ce pas bon marché?
on n’y mange point d’os, Le mouton croiſt tout cuit, le vin croiſt dans les pots.	on n'y mange point d'os, Le mouton croît tout cuit, le vin croît dans les pots.
Les ruiſſeaux ſont de lait, les monts ſont de fromage:	Les ruisseaux sont de lait, les monts sont de fromage:
Si bien que tout ainſi qu’en vn cul de meſnage, Vous y auez touſiours à boire & à manger, De là ie ſuis venu en ce bois eſtranger:	Si bien que tout ainsi qu'en un cul de ménage, Vous y avez toujours à boire et à manger, De làfois suis venu en ce bois étranger:
Hé que voila de gens!	Hé que voilà de gens!
ça que ie les contemple, Se ſont tous les bergers qui celebrent au temple La feſte du Dieu Pan:	ça que personne les contemple, Se sont tous les bergers qui célèbrent au temple La fête du Dieu Pan:
ie ſuis fortunement Arriué en ce lieu pour vendre promptement Toute Mamercerle, aueequesma Ganeete.	Je suis fortunément Arrivé en ce lieu pour vendre promptement Toute Mamercle, aueequesma Ganejette.
Le Sacrificateur.	Le Sacrificateur.
Pourquoy tardez vous tãt?	Pourquoi tardez -vous tant?
qu’eſt-ce qui voꝰ arreſte?	qu'est-ce qui voù arrête?
Floridon.	Floridon.
C’eſt trop tardé ie, veux le premier du troupeau D’vn oſier attacher mon chapeau, Pan, reçoy d’vne main telle Que ie t’offre d’vn bon zele, Ce chapeaur fait de lamier Que ie gaignay le iour d’hyer A Ianot ce braue chantre Ioüant nous deux dans vn antre.	C'est trop tardé Dieu, veux le premier du troupeau D'un osier attacher mon chapeau, Pan, reçois d'une main telle Que tu t'offre d'un bon zèle, Ce chapeaur fait de lamier Du Seigneur gagnai le jour d'hier A Anoure ce brave chantre Iouant nous deux dans un antre.
Melidor.	Mélidor.
I’apprends ſur ton autel ô grand Dieu des Paſteurs, Ce chapeau nompareil pour ſes diuerſes fleurs.	J'apprends sur ton autel ô grand Dieu des Pasteurs, Ce chapeau nompareil pour ses diverses fleurs.
Florice.	Florice.
Et moy humble ie te preſente Ceſte couronne d’amaranthe, Caliante.	Et moi humble grande te présente Cette couronne d'amaranthe, Caliante.
Pan, ie te prie, de moy Ce petit chaſteau recoy, Que i’ay façonné de roſes Qui ſont ce matin eſcloſes.	Pan, Seigneur te prie, de moi Ce petit château recoi, Que j'ai façonné de roses Qui sont ce matin écloses.
Le Sacrificateur.	Le Sacrificateur.
Moy ie t’apprendray auſii Ce chapeau fait de ſoucy.	Moi ie t'apprendrai ausi Ce chapeau fait de souci.
Le mercier.	Le mercier.
Moy mon manteau à ma banette Mon ioly feutre à ma brayette, Puis que dedans les champs bocagers Faut faire comme les Bergers.	Moi mon manteau à ma banette Mon joli feutre à ma brayette, Puis que dedans les champs bocagers Faut faire comme les Bergers.
