M.	M.
DC.	DC.
XLII.	XLII.
Source gallicabntfr ( Bibliothèque nationale de France M AR grace & Priuilege du Roy, en datte du 3.	Source gallicabntfr ( Bibliothèque nationale de France M AR grâce et Privilège du Roy, en datte du 3.
jour de May 164I.	jour de May 164I.
ſigné par le Roy, en lon Conſeil le Brun, Il eſt permis à ANTOINE DE SOMMAVILLE Marchand Libraire à Paris, d’In primur où faſreimprimer vne piece de Theatre intitulée PHALANTE TRAGEDIE, & ce durant le temps de cinq ans:	signé par le Roi, en lon Conseil le Brun, Il est permis à ANTOINE DE SOMAUILLE Marchand Libraire à Paris, d'In primur où fasreimprimer une pièce de Théâtre intitulée PHALANTE -TRAGÉDIE, et ce durant le temps de cinq ans:
Et deffence ſont faictes à tous autres de quelque qualité & çondition qu’ilſoient d’en vendre d’autres que de celle qu’aura faict imprimer ledit de Sommauille, ſur les peiries portées par leſoites lettres.	Et défense sont faites à tous autres de quelque qualité et çondition qu'ilsaient d'en vendre d'autres que de celle qu'aura fait imprimer ledit de Sommaville, sur les péiries portées par lesaites lettres.
1 ----------- --- -- .	1 --on -ce- -ce- .
.	.
I .	I .
.	.
.	.
.	.
.	.
i la  .	y la .
a * *	a * *
HELENE, Reyne de Corinthe.	HELENE, Reine de Corinthe.
PHALANTE, Prince eſtranger.	PHALANTE, Prince étranger.
PHILOXENE, Prince de Corinthe.	PHILOXENE, Prince de Corinthe.
ARBANTE, Confident de Phalante.	ARBANTE, Confident de Phalante.
CLEONE, AMINTE, - .	CLÉONE, AMINTE, - .
Demoiſelles de la Reyne.	Demoiselles de la Reine.
.	.
–-	–-
ETCAVEE 8 M LRIXGEDIE	ETCAVE 8 M RIXGEDIE
A SCLNE L I TREMIERE, PHILOXENE, HELENE dans ſa chambre.	À SCLNE I TREMIERE, PHILOXENE, HELENE dans sa chambre.
PHILOXENE.	PHILOXENE.
ES regards enflammés que lancent vos beaus yeus, Ne ſont que des eſclairs pour cet audacieus, Et ſa preſomption a merité la foudre, Dont ils s’arment deſia pour le reduire en poudre.	ES regards enflammés que lancent vos beaus yeus, Ne sont que des éclairs pour cet audacieus, Et sa présomption a mérité la foudre, Dont ils s'arment déjà pour le réduire en poudre.
o.	ô.
*Ouy;	Oui;
Aſadame, il eſt iuſte, & voſtre Majeſté Me doit enfin punir de ma temerité;	Asadame, il est juste, et votre Majesté Me doit enfin punir de ma témérité;
Tabuſe inſolemment des bontés de ma Reine, Du reſpect qu'vn vaſſal doit à ſa Souueraine, Et dans ma paßion ie ne recognoy pas, Et combien elle eſt haute, & combien te ſuis bas.	Tabuse insolemment des bontés de ma Reine, Du respect qu'un vassal doit à sa Souveraine, Et dans ma passion nous ne reconnais pas, Et combien elle est haute, et combien te suis bas.
Aon audace a rendu ma faute irremiſsible, Mla flamme eſt criminelle en tant qu'elle eſt viſible, Auſsi n'ay-je peché qu'en vous la deſcouurant, Et te deuois mourir, & me taire en mourant:	Aon audace a rendu ma faute irrémissible, Mla flamme est criminelle en tant qu'elle est visible, Aussi n'ai-je péché qu'en vous la découvrant, Et te devais mourir, et me taire en mourant:
Mais quelque paſsion qui rompe mon ſilence, Ne m'en accuſeZ point, on me fait violence, Et ce Tyran des Dieux, d’vn inſolent pouuoir, Dans mon aueuglement eſtouffe mon deuoir, Ma paſsion l’emporté auëc trop d’auantage, Es ceux à qui vos yeux laiſſent encor l’vſage.	Mais quelque passion qui rompe mon silence, Ne m'en accusez point, on me fait violence, Et ce Tyran des Dieux, d'un insolent pouvoir, Dans mon aveuglement étouffe mon devoir, Ma passion l'emporté auec trop d'avantage, Es ceux à qui vos yeux laissent encor l'usage.
Æl aetirteztoijpance es dis ihijounentenz, Quelques prudens qu’ils ſoient, manquent de iugement, Si l'on brêloit pour vous d’vne flamme commune	Æl aetirteztoijpance es dis ihijounentenz, Quelques prudents qu'ils soient, manquent de jugement, Si l'on brêloit pour vous d'une flamme commune
FTELENE.	FTELENE.
Philoxene il ſuffit, ce diſcours m'importune, Laſſés-vous a la fin de me perſecuter, Comme ma patience eſt laſſe, d’eſcouter.	Philoxène il suffit, ce discours m'importune, Lassez-vous a la fin de me persécuter, Comme ma patience est lasse, d'écouter.
PHILOXENE.	PHILOXENE.
Si pour vons adorer i'ay pu commettre vn crime, .	Si pour vonds adorer j'ai pu commettre un crime, .
.	.
4- 2	4- 2
HELENE.	HELENE.
Ce n’eſt pas que ie ne vous eſtime Philoxene je ſçay ce que vous meritez Et pour voſtre naiſſance & pour vos qualite?	Ce n'est pas que ici ne vous estime Philoxène je sais ce que vous méritez Et pour votre naissance et pour vos qualité?
