R1373 Imprimérs aux deſpens de l'Aucheur, & ſe oex dent peur luy.	R137 Imprimers aux dépens de l'Aucheur, et se oex dent peur lui.
AI ARIS Chez CHARLES GORRENT, au Parvis de Noſtre-Dame.	AI ARIS Chez CHARLES GORENT, au Parvis de Notre-Dame.
Et chez IEAN GOBERT, à l'Image Saine Ioſeph, ſur le Quay des Auguſtins.	Et chez JÉAN GOBERT, à l'Image Saine Joseph, sur le Quay des Augustins.
M.	M.
DC.	DC.
LXXI.	LXXI.
Avec Privilege dus Roy.	Avec Privilège dus Roi.
LUN G.	LUN G.
DOUAV 1919	DOUAU 1919
A LIN RETIVE plieray d’excuſer la hardieſſe que ie prends de luy preſenter vne Reine, qui pour ſes admirables qualités, ne devroit avoir du moins qu’un Ange pour ſon Eſcuyer;	À LIN RÉTIVE plierai d'excuser la hardiesse que deux prends de M présenter une Reine, qui pour ses admirables qualités, ne devrait avoir du moins qu'un Ange pour son Écuyer;
car ie ne ſçaurois mieux m'aquitter de mon devoir, qu’en mettant une ſi ſainte Reine entre les mains d’une Reine, non ſeulement la plus illuſtre, la plus grande, la plus puiſſante, la plus glorieuſe, & la plus heureuſe du monde, mais auſſi la plus pieuſe, la plus devote, & en un mot la plus accomplie en toutes ſortes dé vertus qui ſoit dans l’Vnivers.	car ie ne saurais mieux m'aquitter de mon devoir, qu'en mettant une si sainte Reine entre les mains d'une Reine, non seulement la plus illustre, la plus grande, la plus puissante, la plus glorieuse, et la plus heureuse du monde, mais aussi la plus pieuse, la plus dévote, et en un mot la plus accomplie en toutes sortes dé vertus qui soit dans l'Univers.
Oüy, MADAME, j’oſe me flatter, que vous excuſerez mon audace, s’il plaiſt à VOSTRE MAIESTE', de conſiderer, que ie ne pouvois mieux faire pour vous témoigner mes tres-humbles reſpects, ny vous rendant mes hommages vous preſenter rien de plus agreable, que parfait image d’un Amour Divin, qui triomphe de la tyrannie du monde & de toutes ſes vanités;	Oui, MADAME, j'ose me flatter, que vous excuserez mon audace, s'il plaît à VÔTRE MAIESTE, de considérer, que ainsi ne pouvais mieux faire pour vous témoigner mes très-humbles respects, ni vous rendant mes hommages vous présenter rien de plus agréable, que parfait image d'un Amour Divin, qui triomphe de la tyrannie du monde et de toutes ses vanités;
car VOSTRE MAIESTE' y connoiſtra comme dans un miroir toutes ces divines perfections, qui vous rendent admirable;	car VÔTRE MAIESTE' y connaîtra comme dans un miroir toutes ces divines perfections, qui vous rendent admirable;
& puiſque les arbres meſme ont témoigné quelque ſenſibilité à ſon occaſion, & ſe ſont ouverts pour ſervir d’Azile à cette Reine perſecutée;	et puisque les arbres même ont témoigné quelque sensibilité à son occasion, et se sont ouverts pour servir d'Azile à cette Reine persécutée;
