M.	M.
DC.	DC.
LIII.	LIII.
Auec Priuilege du Roy.	Avec Privilège du Roi.
rection que Monſeigneur le Duc noſtre Pere m'a fait l’honneur de me dire que vous m’accorderiez, Il a veu LENOBIE ſur vn ſuperbe Theatre, & ce qu’il n’a pas crû indigne de ſes yeux, il m'a aſſeuré qu'il ne déplairoit pas aux voſtres:	rection que Monseigneur le Duc notre Père m'a fait l'honneur de me dire que vous m'accorderiez, Il a vu LENOBIE sur un superbe Théâtre, et ce qu'il n'a pas crû indigne de ses yeux, il m'a assuré qu'il ne déplairoit pas aux vôtres:
C’eſt ſur la foy de ſa parole inuiolable, que cette Reyne oſe paroiſtre deuant vous:	C'est sur la foi de sa parole inviolable, que cette Reine ose paraître devant vous:
Elle a autrefois rencontré ſon Azile, dans la Generoſité des Romains qui l’ont vangée de ſes deux marys qui furent ſes perſecuteurs, & ſes tyrans:	Elle a autrefois rencontré son Azile, dans la Générosité des Romains qui l'ont vengée de ses deux maris qui furent ses persécuteurs, et ses tyrans:
Elle vbus demande la meſme grace pour ſe iuſtiſier à la poſterité de la pourſuitte de ſa vengeance:	Elle vébus demande la même grâce pour se justisier à la postérité de la poursuite de sa vengeance:
ZENOBIE, ſans ce ſecours que i’implore pour elle paſſeroit pour cruelle;	ZENOBIE, sans ce secours que j'implore pour elle passerait pour cruelle;
quoy qu'elle ne ſoit que genereuſe & ce qui n’eſt en elle.	quoi qu'elle ne soit que généreuse et ce qui n'est en elle.
qu'vne vertu, deuiẽdroit vne paſſion;	qu'une vertu, deviendrait une passion;
ſa cholere qui eſt legitime & que les crimes de ſes eſpoux ont fait naiſtre, paſſeroit pour vn autre crime, & l’arpour vn dereglement de ſa volonté.	sa cholère qui est légitime et que les crimes de ses époux ont fait naître, passerait pour un autre crime, et l'arpour un dérèglement de sa volonté.
Enfin MADEMOISELLE ſi vous ne luy tendez le main, on la condamnera de trop de ſeuerité, & on luy ſouhaittera peut-eſtre la mort aprez celle de ſes maris:	Enfin MADEMOISELLE si vous ne lui tendez le main, on la condamnera de trop de sévérité, et on avait souhaitera peut-être la mort aprez celle de ses maris:
Mais vous aurez de la bonté pour elle, & voſtre illuſtre nom reueré de toute la terre la garentira de ce reproche:	Mais vous aurez de la bonté pour elle, et votre illustre nom révéré de toute la terre la garantira de ce reproche:
ſoubs cet appuy elle ne craindra point de ſiniſtre iugement de ſon Siecle ny de la poſterité, & ie n'ay parde peine à me perſuader que tout le monde aura du reſpect pour vn ouurage que ma plume vous conſacre, & qui portera vos liurées:	sous cet appui elle ne craindra point de sinistre jugement de son Siècle ni de la postérité, et un n'ai parde peine à me persuader que tout le monde aura du respect pour un ouvrage que ma plume vous consacre, et qui portera vos livres:
ſiZENOBIE est genereuſe, la Princeſſe ſa fille ne l’eſt pas moins, & ie m'aſſeure que vousl'anmerez eucore plus que la mere:	siZENOBIE est généreuse, la Princesse sa fille ne l'est pas moins, et été m'assure que vousl'anmerez eucore plus que la mère:
elle combat de vertu & de generoſité auec elle:	elle combat de vertu et de générosité avec elle:
Mais quelque grande que ſoit cette vertu, elle n’eſt que l’ombre de la voſtre qui eſt auſſi illuſtre que voſtre naiſſance:	Mais quelque grande que soit cette vertu, elle n'est que l'ombre de la vôtre qui est aussi illustre que votre naissance:
vous la poſſedez hereditairement comme le bien de vosPeres:	vous la possédez héréditairement comme le bien de vosPères:
c’eſt dans voſtre maiſon vne grace infuſe, & vne beureuſe neceſité, de naiſtre, & de naiſtre vertueux:	c'est dans votre maison une grâce infuse, et une beureuse nécessité, de naître, et de naître vertueux:
vous n'aurez beſoiu pour la former, ou pour la cultiuer ny d’experience, ny d’exemples eſtranrers;	vous n'aurez besoiv pour la former, ou pour la cultiver ni d'expérience, notre d'exemples étranrers;
vous n’auez qu'à vous ſouuenir de l’hiſtoire de voſtre Maiſon, & pour tout dire qu'à ietter les yeux ur celle de Monſeigneur le Duc voſtre Pere, dont toute la, vie eſt vn iſſu en grandeur & genereuſes actions qui reſpandent des lumieres T moy donc à l’ombre de cette vertu, & faites grace à ma temerité ſi ioſe prendre le tiltre qui m'eſt ſi glorieux de,	vous n'avez qu'à vous souvenir de l'histoire de votre Maison, et pour tout dire qu'à jeter les yeux ur celle de Monseigneur le Duc votre Père, dont toute la, vie est un issu en grandeur et généreuses actions qui répandent des lumières T moi donc à l'ombre de cette vertu, et faites grâce à ma témérité si josé prendre le titre qui m'est si glorieux de,
Voſtre tres-humble & tres-obeïſſant ſeruiteur, DE MONTAVBAN.	Votre très-humble et très-obeïssant serviteur, DE MONTAUBAN.
AR Grace & Priuilege du Roy, don2 né à Paris le 22.	AR Grâce et Privilège du Roi, don2 né à Paris le 22.
Septembre 1653.	Septembre 1653.
Il T eſt permis à GVILLAVME DE LVINE Marchand Libraire en noſtre bonne Ville de Paris de faire imprimier, vendre & debiter La Zenobie, Et telle marge & caractere que bon luy ſemblera pendant le temps & eſpace de neuf ans, à compter du iour qu’elle ſera acheuée d’imprimer:	Il T est permis à GUILLAUME DE LUINE Marchand Libraire en notre bonne Ville de Paris de faire imprimier, vendre et débiter La Zénobie, Et telle marge et caractère que bon ex semblera pendant le temps et espace de neuf ans, à compter du jour qu'elle sera achevée d'imprimer:
Et deffenſes ſont faites à tous Imprimeurs & Libraires & autres, de l’imprimer ſur les peines plus amplement portées audit Priuilege.	Et défenses sont faites à tous Imprimeurs et Libraires et autres, de l'imprimer sur les peines plus amplement portées audit Privilège.
Atheut d'imprimer pour la premiere ſou le premier Oſtobre 1653.	Atheut d'imprimer pour la première sou le premier Ostobre 1653.
Les Exemplaires ont eſté ſournis.	Les Exemplaires ont été sournis.
LALLITODXT DE MONSIEVR D H MONTAVBAN.	LALLITODXT DE MONSIEUR D H MONTAUBAN.
SONNET.	SONNET.
SE deux Maris ruiuans .	SE deux Maris ruivants .
femme ingratte & fidelle A qui l’amour t’vnit poun te perſecuter, 610e 2uob.	femme ingrate et fidèle À qui l'amour t'unit poun te persécuter, 610 2vob.
8 Puis que tes deux Tyraninhumaine & cruelle, Qui ſans bleſſer ta gloire as peu les imittr.	8 Puis que tes deux Tyraninhumaine et cruelle, Qui sans blesser ta gloire as peu les imittr.
Royue trop de fureur te rendroit criminelle, Ne reſſuſeiter pas pour la reſſuſciter:	Roye trop de fureur te rendrait criminelle, Ne ressuseiter pas pour la ressusciter:
Et puis que MONT.	Et puis que MONT.
