M.	M.
DC.	DC.
XXXVI.	XXXVI.
Auec Priuilege du Roy.	Avec Privilège du Roi.
A MADAME DE LIANCOY RT.	À MADAME DE LIANCOY RT.
ADAME, Cette Princeſſe Indienne deſirãt que tout le monde apprenne le ſuccés de ſes chaſtes auentures, ſe preſente à vous, afin que l’authorité de voſtre nom donne du credit au ſien, & que l’eſclat de ſes vertus paroiſſe dauãtage en l’eſtime de la nobleſſe eſtant appuyé ſur les voſtres.	ADAME, Cette Princesse Indienne désirant que tout le monde apprenne le succès de ses chastes aventures, se présente à vous, afin que l'autorité de votre nom donne du crédit au sien, et que l'éclat de ses vertus paraisse davantage en l'estime de la noblesse étant appuyé sur les vôtres.
Elle vous dédie ſes Amours à deſſein d’auoir vn libre accés dans voſtre cabinet, & afin que celuy qui tire ſon hiſtoire des tenebres de l’oubly, pour la faire voir à vos yeux & puis au iour, ayant vn Prince & vne Princeſſe qui vous teſmoignent vne partie de l’obeiſſance qu’il vous doit tant en qualité de vostre ſubiet, que pour ſatisfaire à celle que perſonne ne peut iuſtement refuſer à vos perfections reçoiue la recompenſe, de ſon trauail dans l’honneur de meriter vos commandemens.	Elle vous dédie ses Amours à dessein d'avoir un libre accès dans votre cabinet, et afin que celui qui tire son histoire des ténèbres de l'oubli, pour la faire voir à vos yeux et puis au jour, ayant un Prince et une Princesse qui vous témoignent une partie de l'obéissance qu'il vous doit tant en qualité de votre sujet, que pour satisfaire à celle que personne ne peut justement refuser à vos perfections reçoive la récompense, de son travail dans l'honneur de mériter vos commandements.
Comme a la verité ie croiray touſiours auoir aſſez esté recompensé de la Princeſſe Indienne, pourueu qu’elle ſoit aſſez capable de vous aſſeurer que ie ſuis,	Comme à la vérité ie croirai toujours avoir assez esté récompensé de la Princesse Indienne, pourvu qu'elle soit assez capable de vous assurer que je suis,
MADAME,	MADAME,
Voſtre tres-humble & tres-obeiſſant ſeruiteur & ſubiet, R.	Votre très-humble et très-obéissant serviteur et sujet, R.
M.	M.
DVROCHER	DUROCHÉR
ATLEMEMT.	ATLEMT.
Leraſte & Rodomare fils du Roy du Peru menant vne armée nauale au ſecours du Prince de l’Iſle Saincte Helene leur allié, leurs vaiſſeaux ſont iettez par vne tempeſte en la coſte de Floride, où ayant ſignalé leur valeur dans la deliurance d’Axiane fille du Roy de ce pays, des violents efforts du Prince de Mexique, Cleraſte deuient amoureux & aymé de cette belle, dont le ialoux Prince (qui leur eſtoit redeuable de la vie par deux fois) conçoit vne telle fureur, qu’il fait prendre à Rozemonde ſon Amante l’habit de ſa couſine Axiane.	Lerâte et Rodomare fils du Roi du Per venant avoir armée navale au secours du Prince de l'Île Sainte Hélène leur allié, leurs vaisseaux sont jetés par une tempête en la côte de Floride, où ayant signalé leur valeur dans la délivrance d'Axiane fille du Roy de ce pays, des violents efforts du Prince de Mexique, Cleraste dévient amoureux et aimé de cette belle, dont le jaloux Prince (qui leur avait redevable de la vie par deux fois) conçoit un telle fur, qu'il fait prendre à Rozonde le Amante l'habit de sa cousine Axiane.
ſoubs lequel il abuſe Cleraſte, Rodomare & l’Admiral du Peru, qui les auoit ſuiuis en ce voyage.	sous lequel il abuse Cleraste, Rodomare et l'Admiral du Peru, qui les avait suivis en ce voyage.
Cleraſte irrité de l’affront qu’il croit auoir receu de ſa maiſtreſſe, treuue le remede à ſon deſeſpoir dans les abyſmes du fleuue:	Cleraste irrité de l'affront qu'il croit avoir reçu de sa maîtresse, trouve le remède à son désespoir dans les abîmes du fleuve:
& Rodomare autant faſché de ſa mort que reſolu de la venger, va treuuer le Roy accompagné de Melidor, àqui, ſoubs pretexte de demander iuſtice de la mort de Cleraſte, il deſcouure Axiane comme complice, &le Prince de Mexique le principal autheur de la mort de ſon frere, & de l’infamie qu’il auoit procurée au Roy dans les faueurs deshonneſtes que ſa fille luy permettoit toutes les nuicts.	et Rodomare autant fâché de sa mort que résolu de la venger, va trouver le Roi accompagné de Melidor, àqui, sous prétexte de demander iustice de la mort de Cleraste, il découvre Axiane comme complice, etle Prince de Mexique le principal auteur de la mort de son frère, et de l'infamie qu'il avait procurée au Roy dans les faveurs déshonnêtes que sa fille avait permettait toutes les nuits.
Le Roy autant iuſte que rigoureux, donne ſatisfaction à Rodomare par l’empriſonnement de Meandre & d’Axiane.	Le Roi autant juste que rigoureux, donne satisfaction à Rodomare par l'emprisonnement de Meandre et d'Axiane.
Cleraſte que le deſeſpoir auoit fait precipiter, & que la conſideration de la mort auoit touché dans l’eau, refroidit cette ardeur furieuſe dans l’onde, & fit tant qu’il s’en ſauua, auec plus d’amour qu’auparauant:	Cleraste que le désespoir avait fait précipiter, et que la considération de la mort avait touché dans l'eau, refroidit cette ardeur furieuse dans l'onde, et fit tant qu'il s'en sauva, avec plus d'amour qu'auparavant:
de ſorte que viuant dans les deſerts il fait rencontre de Rozemonde, à qui ſa mort auoit fait prendre l’habit d’Hermite, ſçachant que ſa ſeule ſimplicité en auoit eſté la cauſe.	de sorte que vivant dans les déserts il fait rencontre de Rozémonde, à qui sa mort avait fait prendre l'habit d'Hermite, Sachant que sa seule simplicité en avait été la cause.
Cette Princeſſe l’entretient de la trahiſon de Meandre, dont ayant au vray ſceu le ſuccés, ils partent tous deux pour aller à la Court, où ils apprennent les funeſtes nouelles de l’execution qui ſe deuoit faire ce iour là d’Axiane & de Meandre, ſi quelqu’vn ne ſe preſentoit qui vouluſt ſouſtenir leur innocence contre Rodomare & Melidor.	Cette Princesse l'entretient de la trahison de Meandre, dont ayant au vrai su le succès, ils partent tous deux pour aller à la Court, où ils apprennent les funestes nouvelles de l'exécution qui se devait faire ce jour là d'Axiane et de Meandre, si quelqu'un ne se présentait qui voulût soustenir leur innocence contre Rodomare et Melidor.
