A MONSEIGNEVR LE CARDINAL DE RICHELIEV.	À MONSEIGNEUR LE CARDINAL DE RICHELIEU.
te ſorte de plaiſirs ſemble eſtre plus legitime, & qu’il est vray que la grandeur de voſtre courage & de voſtre eſprit, occupe auiourd’huy la bouche de tous les hommes, à vous donner la gloire d’auoir mis la France en eſtat de ne craindre plus de Tragedies.	te sorte de plaisirs semble être plus légitime, et qu'il est vrai que la grandeur de votre courage et de votre esprit, occupe aujourd'hui la bouche de tous les hommes, à vous donner la gloire d'avoir mis la France en état de ne craindre plus de Tragédies.
Ce Poëme a receu la vie au temps que vous traüailliez à l’oſter à nos ennemis, & la parfaitte cognoiſſance que i’ay touſiours euë de vostre iugement, a fait que i’ay ſi peu douté du ſuccez de vos entrepriſes, que i'ay commencé de contribuer quelque choſe aux contentements qui deuoient ſuiure vos triomphes, lors meſmes que les autres ne faiſoient que les eſperer.	Ce Poème a reçu la vie au temps que vous trajailliez à l'ôter à nos ennemis, et la parfaite connaissance que j'ai toujours eue de votre jugement, a fait que j'ai si peu douté du succès de vos entreprises, que j'ai commencé de contribuer quelque chose aux contentements qui devaient suivre vos triomphes, lors mêmes que les autres ne faisaient que les espérer.
J’auouë, Monſeigneur, que le ſeul eſclat de voſtre fortune m'a iuſqu’icy deſtourné de vous conſacrer mes ouurages:	J'avoue, Monseigneur, que le seul éclat de votre fortune m'a jusqu'ici détourné de vous consacrer mes ouvrages:
vne certaine foumeur, qui pourtant ne s'accorde pas fort bien auecque l’eſtat où ie ſuis, m'a touſiours fait condamner ces eſprits laſches et mercenaires, qui meſlants vn ſale intereſt en toutes choſes, ſe laiſſent legerement emporter au vent de la faueur, & penſent que la vertu, comme la plus part des femmes du temps, ne peut paroiſtre que ſous l’eſclat des Diamants & des perles:	une certaine foumeur, qui pourtant ne s'accorde pas fort bien avec l'état où votre suis, m'a toujours fait condamner ces esprits lâches et mercenaires, qui meslants un sale intérêt en toutes choses, se laissent légèrement emporter au vent de la faveur, et pensent que la vertu, comme la plus part des femmes du temps, ne peut paraître que sous l'éclat des Diamants et des perles:
De ſorte, Monſeigneur, que ſi l'excez de voſtre merite ne ſe fuſt trouué ſans comparaiſon au deſſus de tous les biens qui ſeruent d’obiect à l’ambition des hommes, ie n'euſſe iamais rompu mon ſilence, de crainte de noircir ce peu que i’ay acquis d’eſtime dans le monde, par le blaſme que meritent les flatteurs & les impudents.	De sorte, Monseigneur, que si l'excès de votre mérite ne se fût trouvé sans comparaison au dessus de tous les biens qui servent d'objet à l'ambition des hommes, Seigneur n'eusse jamais rompu mon silence, de crainte de noircir ce peu que j'ai acquis d'estime dans le monde, par le blâme que méritent les flatteurs et les impudents.
Agreez donc, Monſeigneur, cette Paſtoralle que ie vous preſente, où mon eſprit s'eſt diuerti .	Agréez donc, Monseigneur, cette Pastorale que je vous présente, où mon esprit s'est diverti .
bien pluſtoſt pour delaſſer quelquefoi le voſtre, que pour croire meriter ia mais l’honneur d’eſtre cogneu de vous & trouuez bon, qu'en finiſſant ma lettre, ie vous faſſe rire de la rencontre d’vn Eſtranger, qui me demanda ſi vous eſtieZ vn Geant, m'ayant ouy dire que vous eſtiez le plus grand homme de noſtre ſiecle.	bien plutôt pour délasser quelque le vôtre, que pour croire mériter ia mais l'honneur d'être connu de vous et trouvez bon, qu'en finissant ma lettre, je vous fasse rire de la rencontre d'un Étranger, qui me demanda si vous étiez un Géant, m'ayant ouï dire que vous étiez le plus grand homme de notre siècle.
MONSEIGNEVR.	MONSEIGNEUR.
je ſuis	je suis
Voſtre tres-humble & tresobeïſſant ſeruiteur BARO.	Votre très-humble et tresobeïssant serviteur BARO.
12	12
AV LECTEVR.	AU LECTEUR.
