M.	M.
D C.	D Ç.
LXXTTIS Ayec Privilege du C3.	LXXTIS Ayec Privilège du C3.
REMERCIEMENT ANOROT.	REMERCIEMENT ANOROT.
* OSTRE pareſſe enfin me ſcandaliſe, Ma Muſe obeïſſez- moy;	* OSTRE paresse enfin me scandalise, Ma Muse obéissez- moi;
Il faut ce matin, ſans remiſe, Aller au lever du Roy Vous ſçavez bien pourquoy, Et ce vous eſt une honte, De n’avoir pas eſté plus prompte, A le remercier de ſes fameux bien-faits:	Il faut ce matin, sans remise, Aller au lever du Roi Vous savez bien pourquoi, Et ce vous est une honte, De n'avoir pas été plus prompte, À le remercier de ses fameux bienfaits:
Faites donc voſtre conte, D’aller au Louvre accomplir mes ſouhaits.	Faites donc votre conte, D'aller au Louvre accomplir mes souhaits.
Gardez-vous bien d’eſtre en Muſe baſtie;	Gardez-vous bien d'être en Muse bâtie;
Un air de Muſe eſt choquant dans ces lieux:	Un air de Muse est choquant dans ces lieux:
On y veut des objets à réjoüir les yeux, Vous en devez eſtre avertie, Et vous ferez voſtre cour beaucoup mieux, Lors qu’en Marquis vous ſerez traveſtie.	On y veut des objets à réjouir les yeux, Vous en devez être avertie, Et vous ferez votre cour beaucoup mieux, Lors qu'en Marquis vous serez travestie.
Vous ſçavez ce qu’il faut pour paroiſtre Marquis, N’oubliez rien de l’air, ny des habits:	Vous savez ce qu'il faut pour paraître Marquis, N'oubliez rien de l'air, quelque des habits:
Arborez un chapeau chargé de trente plumes Sur une perruque de prix;	Arborez un chapeau chargé de trente plumes Sur une perruque de prix;
Que le rabat ſoit des plus grands volumes, Et le pourpoint des plus petits:	Que le rabat soit des plus grands volumes, Et le pourpoint des plus petits:
Mais ſur tout je vous recommande	Mais sur tout je vous recommande
Le manteau d’un ruban ſur le dos retrouſſé;	Le manteau d'un ruban sur le dos retroussé;
La galanterie en eſt grande, Et parmy les Marquis de la plus haute bande, Avec vos brillantes hardes, Et voſtre ajuſtement, Faites tout le trajet de la Salle des Gardes, Et vous peignant galamment, Portez de tous côtez vos regards bruſquement, Et ceux que vous pourrez connoiſtre, Ne manquez pas d’un haut ton, De les ſalüer par leur nom, De quelque rang qu’ils puiſſent eſtre;	La galanterie en est grande, Et parmi les Marquis de la plus haute bande, Avec vos brillantes hardes, Et votre ajustement, Faites tout le trajet de la Salle des Gardes, Et vous peignant galamment, Portez de tous côtés vos regards brusquement, Et ceux que vous pourrez connaître, Ne manquez pas d'un haut ton, De les suer par leur nom, De quelque rang qu'ils puissent être;
Cette familiarité Donne, à quiconque en uſe, un air de qualité.	Cette familiarité Donne, à quiconque en use, un air de qualité.
Gratez du peigne à la porte De la chambre du Roy, Ou ſi, comme je prévoy, La preſſe s’y trouve forte, Montrez de loin voſtre chapeau, Ou montez ſur quelque choſe, Pour faire voir voſtre muzeau, Et criez, ſans aucune pauſe, D’un ton rien moins que naturel, Monſieur l’Huisſier pour le Marquis un tel.	Grêtez du peigne à la porte De la chambre du Roi, Ou si, comme je prévoi, La presse s'y trouve forte, Montrez de loin votre chapeau, Ou montez sur quelque chose, Pour faire voir vôtre muzeau, Et criez, sans aucune pause, D'un ton rien moins que naturel, Monsieur l'Huissier pour le Marquis un tel.
Jettez-vous dans la foule, & tranchez du notable;	Jettez-vous dans la foule, et tranchez du notable;
Coudoyez un chacun, point du tout de quartier, Preſſez, pouſſez, faites le Diable, Pour vous mettre le premier;	Coudoyez un chacun, point du tout de quartier, Pressez, poussez, faites le Diable, Pour vous mettre le premier;
Et quand meſme l’Huiſſier, A vos deſirs inexorable,	Et quand même l'Huissier, A vos désirs inexorable,
Vous trouveroit en face un Marquis repouſſable Ne demordez point pour cela, Tenez toûjours ferme là;	Vous trouverait en face un Marquis repoussable Ne démordez point pour cela, Tenez toujours ferme -là;
A déboucher la porte il iroit trop du voſtre:	À déboucher la porte il irait trop du vôtre:
Faites qu’aucun n’y puiſſe penetrer, Et qu’on ſoit obligé de vous.	Faites qu'aucun n'y puisse pénétrer, Et qu'on soit obligé de vous.
laiſſer entrer, Pour faire entrer quelqu’autre Quand vous ſerez entré, ne vous relâchez pas;	laisser entrer, Pour faire entrer quelqu'autre Quand vous serez entré, ne vous relâchez pas;
Pour aſſieger la chaiſe, il faut d’autres combats:	Pour assiéger la chaise, il faut d'autres combats:
