M.	M.
DCIIII.	DCICII.
Auet priuilege de ſa maitſié.	Auet privilège de sa maitsié.
A MONSIEVR MESSIRE GEORGE DE LA PORTE, SEIGNEVR DE MONTAIGNY Conſeiller du Roy en ſes conſeils d’Epur dpiies e sregdenten ſa Couy de Parlement de Normandie.	À MONSIEUR MESSIRE GEORGE DE LA PORTE, SEIGNEUR DE MONTAIGNY Conseiller du Roi en ses conseils d'Épur dpiies E sregdenten sa Couy de Parlement de Normandie.
ONSIEVR, MIe me ſuis touſours perſuadé e qu’Ageſilaus n’auoit iamais eſté λπρ iuſtement blaſmé par les Ephores.	ONSIEUR, MIe me suis tous persuadé eût qu'Agesilaus n'avait jamais été justement blâmé par les Éphores.
de ce qu’il eſſayoit de s’vnir & approprier les cœurs des citoyens, entant qu’il ne s’adreſſoit qu’aux plus gens de bien:	de ce qu'il essayait de s'unir et approprier les cœurs des citoyens, entant qu'il ne s'adressait qu'aux plus gens de bien:
Auſſi i’ay ceſte ferme creance que ceux-là ne peuuent à bon droict eſtre reprins qui recherchent pour leurs liures la protection ſpeciale de quelques particuliers plus ſignalez entre les gẽs de vertu, de ſçauoir, & d’hõneur, pour leur ſeruir, comme aux nautõniers en l’obſcur de la nuict, & parmy les furieuſes tempeſtes de l’enuie, d’eſtoille du Nord àfin d’y dreſſer ſeurement leur nauigation.	Aussi j'ai cette ferme créance que ceux-là ne peuvent à bon droit être reprins qui recherchent pour leurs livres la protection spéciale de quelques particuliers plus signalés entre les gents de vertu, de savoir, et d'honneur, pour leur servir, comme aux nautõniers en l'obscur de la nuit, et parmi les furieuses tempêtes de l'envie, d'étoille du Nord afin d'y dresser sûrement leur navigation.
Ce qui ma faict particulieremẽt addreſſer à vous, dont la loüange eſt ſituee en lieu ſi remarquable & ſi haut, que chacun la peut voir & congnoiſtre manifeſtement:	Ce qui ma fait particulieremẽt adresser à vous, dont la lange est située en lieu si remarquable et si haut, que chacun la peut voir et connaître manifestement:
Sur laquelle pour le 4 EPISIRE.	Sur laquelle pour le 4 EPISIRE.
preſent ie n’entreray plus aduant, de peur que par l’inſuffiſance & rudeſſe de mon eſprit, ie ne ſemble pluſtoſt l’abaiſſer que la hauſſer, la diminuer, que l’augmenter:	présent flamme n'entrerai plus avent, de peur que par l'insuffisance et rudesse de mon esprit, une ne semble plutôt l'abaisser que la hausser, la diminuer, que l'augmenter:
congnoiſſant de certain que voſtre grande prudence & modeſtie ne ſouffriroit à ſes aureilles vne voix ou plume pleine de flaterie & de fard la chanter & celebrer, imitant en cela le ſage Vlixes qui ne I’endura de la part du fils de Tydee, qui vouloit courir & diſcourir ſur le champ de ſes loüanges, ains auec ces graues parolles, comme de fortes reſnes refrena ſa langue Ττυδείδη μήτ αρμε μόλ ἀνεε, μῆτε πνέκς:	congnaissant de certain que votre grande prudence et modestie ne souffrirait à ses oreilles v voix ou plume pleine de flatterie et de fard la chanter et célébrer, imitant en cela le sage Vlixes qui ne J'endura de la part du fils de Tydée, qui voulait courir et discourir sur le champ de ses louanges, ains auec ces graves paroles, comme de fortes rênes refrena sa langue Ττυδείδη μήτ αρμε μόλ ἀνεε, μῆτε πνέκς:
