M.	M.
D C.	D Ç.
L’XIX.	L'XIX.
AVEC PRIVILEGE DV ROY.	AVEC PRIVILÈGE DU ROY.
TAEIINON.	TAEINON.
n H 3 DICY vne Comedie dont on a fait beaucoup de bruit, qui a eſtè longtemps perſecutée;	 N' 3 DICY une Comédie dont on a fait beaucoup de bruit, qui a estè longtemps persécutée;
& les Gens, qu’elle jouë, ont bien fait voir qu’ils eſtoient plus puiſſans en France que tous ceux que i'ay joïez juſqu’icy.	et les Gens, qu'elle joue, ont bien fait voir qu'ils étaient plus puissants en France que tous ceux que j'ai jouez jusqu'ici.
Les Marquis, les Précieuſes, les Cocus, & les Medecins, ont ſouffert doucement qu’on les ait repreſentez;	Les Marquis, les Précieuses, les Cocus, et les Médecins, ont souffert doucement qu'on les ait représentez;
& ils ont fait ſemblant de ſe diuertir, auec tout le monde, des peintures que l’on a faites d’eux:	et ils ont fait semblant de se divertir, avec tout le monde, des peintures que l'on a faites d'eux:
Mais les Hipocrites n’ont point entendu raillerie;	Mais les Hypocrites n'ont point entendu raillerie;
ils ſe ſont effarouchez d’abord, & ont trouué étrange que i’euſſe la hardieſſe de joüer leurs grimaces;	ils se sont effarouchés d'abord, et ont trouvé étrange que j'eusse la hardiesse de jouer leurs grimaces;
& de vouloir décrier vn métier dont tant d’honneſtes Gens ſe meſlent.	et de vouloir décrier un métier dont tant d'honnêtes Gens se mêlent.
C’eſt vn crime qu’ils ne ſçauroient me pardonner, & ils ſe ſont tous armez contre ma Comedie auec vne fureur épouuantable.	C'est un crime qu'ils ne sauraient me pardonner, et ils se sont tous armés contre ma Comédie avec une fureur épouvantable.
Ils n’ont eu garde de l’attaquer par le coſté qui les a bleſſez;	Ils n'ont eu garde de l'attaquer par le côté qui les a blessés;
ils ſont trop politiques pour cela, & ſçauent trop bien viure pour découurir le fond de leur ame.	ils sont trop politiques pour cela, et savent trop bien vivre pour découvrir le fond de leur âme.
Suiuant leur loüable coûtume, ils ont couuert leurs intereſts de la cauſe de Dieu;	Suivant leur louable coûtume, ils ont couvert leurs intérêts de la cause de Dieu;
& le Tartuffe dans leur bouche eſt vne Piece qui offence la Pietè.	et le Tartuffe dans leur bouche est une Pièce qui offense la Piété.
Elle eſt d’vn bout à l’autre pleine d’abominations, & l’on n’y trouue rien qui ne merite le feu.	Elle est d'un bout à l'autre pleine d'abominations, et l'on n'y trouve rien qui ne mérite le feu.
Toutes les ſillabes en ſont impies;	Toutes les syllabes en sont impies;
Les geſles, meſme, y ſont criminels;	Les gèles, même, y sont criminels;
& le moindre coup d’œil, le moindre branlement de teſte, le moindre pas à droit ou à gauche, y cache des myſteres, qu’ils trouuent moyen d’expliquer à mon deſauantage.	et le moindre coup d'œil, le moindre branlement de tête, le moindre pas à droit ou à gauche, y cache des mystères, qu'ils trouvent moyen d'expliquer à mon désavantage.
I’ay eu beau la ſoûmettre aux lumieres de mes Amis, & à la cenſure de tout le monde;	J'ai eu beau la soumettre aux lumières de mes Amis, et à la censure de tout le monde;
Les corrections que i’y ay pû faire;	Les corrections que j'y ai pu faire;
le jugement du Roy, & de la Reyne, qui l’ont veuë;	le jugement du Roi, et de la Reine, qui l'ont vue;
l’aprobation des grands Princes;	l'approbation des grands Princes;
& de Meſſieurs les Miniſtres qui l’ont honorée publiquement de leur preſence;	et de Messieurs les Ministres qui l'ont honorée publiquement de leur présence;
le témoignage des Gens de bien qui l’ont trouuée profitable, tout cela n’a de rien ſeruy.	le témoignage des Gens de bien qui l'ont trouvée profitable, tout cela n'a de rien servi.
Ils n'en veulent point démordre, & tous les jours encore ils font crier en public des zelez indiſcrets qui me diſent des injures pieuſement, & me damnent par charite.	Ils n'en veulent point démordre, et tous les jours encore ils font crier en public des zélé indiscrets qui me disent des injures pieusement, et me damnent par charité.
